Date,Close,Volume
1987-05-19,96.0,117800
1987-05-20,105.0,18800
1987-05-21,106.5,11000
1987-05-22,114.0,28700
1987-05-26,123.0,22600
1987-05-27,124.5,31000
1987-05-28,124.5,13900
1987-05-29,124.5,17100
1987-06-01,109.5,11900
1987-06-02,118.5,7000
1987-06-03,112.5,6800
1987-06-04,108.0,11500
1987-06-05,112.5,5400
1987-06-08,114.0,8200
1987-06-09,118.5,3400
1987-06-10,115.5,5600
1987-06-11,114.0,2700
1987-06-12,114.0,2900
1987-06-15,112.5,2300
1987-06-16,112.5,1600
1987-06-17,112.5,1400
1987-06-18,112.5,1700
1987-06-19,112.5,1100
1987-06-22,109.5,4000
1987-06-23,108.0,8100
1987-06-24,108.0,1900
1987-06-25,108.0,1100
1987-06-26,109.5,2300
1987-06-29,108.0,5200
1987-06-30,108.0,3500
1987-07-01,108.0,1200
1987-07-02,109.5,1400
1987-07-06,109.5,900
1987-07-07,108.0,900
1987-07-08,106.5,2300
1987-07-09,105.0,3900
1987-07-10,100.5,7600
1987-07-13,100.5,2900
1987-07-14,106.5,1800
1987-07-15,106.5,3900
1987-07-16,109.5,400
1987-07-17,111.0,500
1987-07-20,111.0,400
1987-07-21,108.0,1900
1987-07-22,108.0,200
1987-07-23,106.5,800
1987-07-24,105.0,1400
1987-07-27,102.0,600
1987-07-28,100.5,9700
1987-07-29,103.5,300
1987-07-30,103.5,5600
1987-07-31,105.75,1400
1987-08-03,108.0,3100
1987-08-04,105.0,400
1987-08-05,108.0,300
1987-08-06,108.0,1300
1987-08-07,108.0,6200
1987-08-10,112.5,5000
1987-08-11,114.0,2800
1987-08-12,111.0,3300
1987-08-13,108.0,900
1987-08-14,108.0,200
1987-08-17,108.0,0
1987-08-18,112.5,10700
1987-08-19,117.0,9600
1987-08-20,115.5,8500
1987-08-21,117.0,1600
1987-08-24,120.0,2300
1987-08-25,120.0,2800
1987-08-26,114.75,5900
1987-08-27,114.0,2500
1987-08-28,115.5,2600
1987-08-31,116.25,1300
1987-09-01,114.0,3600
1987-09-02,112.5,400
1987-09-03,114.0,500
1987-09-04,111.0,1900
1987-09-08,106.5,4800
1987-09-09,106.5,11600
1987-09-10,106.5,400
1987-09-11,109.5,12800
1987-09-14,106.5,400
1987-09-15,109.5,96600
1987-09-16,106.5,400
1987-09-17,109.5,800
1987-09-18,109.5,800
1987-09-21,109.5,4000
1987-09-22,108.0,2100
1987-09-23,109.5,7400
1987-09-24,110.25,4400
1987-09-25,106.5,30700
1987-09-28,114.0,14000
1987-09-29,114.0,18000
1987-09-30,117.0,6400
1987-10-01,117.0,5000
1987-10-02,121.5,24900
1987-10-05,124.5,12500
1987-10-06,121.5,5100
1987-10-07,121.5,28900
1987-10-08,123.0,73900
1987-10-09,121.5,8600
1987-10-12,115.5,3500
1987-10-13,117.0,24200
1987-10-14,114.0,800
1987-10-15,112.5,900
1987-10-16,111.0,9500
1987-10-19,88.5,6600
1987-10-20,70.5,5700
1987-10-21,91.5,21800
1987-10-22,96.0,12500
1987-10-23,84.0,6300
1987-10-26,81.0,5500
1987-10-27,72.0,10300
1987-10-28,75.0,4900
1987-10-29,81.0,1100
1987-10-30,93.0,3400
1987-11-02,96.0,13400
1987-11-03,85.5,5200
1987-11-04,87.0,3100
1987-11-05,85.5,2700
1987-11-06,85.5,200
1987-11-09,87.0,600
1987-11-10,84.0,3400
1987-11-11,82.5,2800
1987-11-12,82.5,2200
1987-11-13,82.5,400
1987-11-16,84.0,1700
1987-11-17,85.5,2700
1987-11-18,88.5,800
1987-11-19,88.5,100
1987-11-20,88.5,14900
1987-11-23,85.5,800
1987-11-24,88.5,900
1987-11-25,88.5,5100
1987-11-27,88.5,100
1987-11-30,88.5,7700
1987-12-01,85.5,500
1987-12-02,85.5,2100
1987-12-03,85.5,8200
1987-12-04,84.0,9900
1987-12-07,82.5,8500
1987-12-08,82.5,2400
1987-12-09,82.5,300
1987-12-10,82.5,2800
1987-12-11,82.5,1200
1987-12-14,85.5,3400
1987-12-15,88.5,11800
1987-12-16,88.5,2200
1987-12-17,88.5,8500
1987-12-18,96.0,3500
1987-12-21,99.0,1800
1987-12-22,96.0,600
1987-12-23,96.0,100
1987-12-24,96.0,1300
1987-12-28,96.0,3600
1987-12-29,96.0,0
1987-12-30,99.75,4900
1987-12-31,100.5,600
1988-01-04,100.5,2400
1988-01-05,102.0,11300
1988-01-06,103.5,10200
1988-01-07,100.5,2200
1988-01-08,100.5,800
1988-01-11,102.0,19500
1988-01-12,93.0,4000
1988-01-13,94.5,2100
1988-01-14,90.0,8100
1988-01-15,91.5,14700
1988-01-18,91.5,17200
1988-01-19,93.0,1000
1988-01-20,87.0,18800
1988-01-21,87.0,10700
1988-01-22,87.0,5300
1988-01-25,87.0,1200
1988-01-26,85.5,7800
1988-01-27,86.25,1900
1988-01-28,87.0,3100
1988-01-29,87.0,1400
1988-02-01,90.0,4200
1988-02-02,93.0,3300
1988-02-03,90.0,3000
1988-02-04,93.0,2900
1988-02-05,93.0,200
1988-02-08,90.0,1300
1988-02-09,88.5,3900
1988-02-10,88.5,11300
1988-02-11,93.0,5900
1988-02-12,94.5,800
1988-02-16,94.5,1600
1988-02-17,91.5,4800
1988-02-18,91.5,900
1988-02-19,91.5,3400
1988-02-22,93.0,3400
1988-02-23,91.5,1000
1988-02-24,94.5,6600
1988-02-25,93.0,9700
1988-02-26,90.0,2100
1988-02-29,94.5,2400
1988-03-01,96.0,14500
1988-03-02,96.0,3500
1988-03-03,99.0,2400
1988-03-04,99.0,3200
1988-03-07,99.0,600
1988-03-08,100.5,27800
1988-03-09,102.0,2700
1988-03-10,99.0,6600
1988-03-11,94.5,6000
1988-03-14,96.0,1500
1988-03-15,93.0,3600
1988-03-16,96.0,8400
1988-03-17,96.0,800
1988-03-18,99.0,4400
1988-03-21,97.5,4300
1988-03-22,96.75,100
1988-03-23,97.5,2400
1988-03-24,96.75,6600
1988-03-25,96.0,4500
1988-03-28,91.5,9100
1988-03-29,94.5,0
1988-03-30,91.5,6800
1988-03-31,93.0,9700
1988-04-04,94.5,2200
1988-04-05,94.5,8300
1988-04-06,96.0,10000
