Date,Close,Volume
1986-07-09,11.0,1116800
1986-07-10,10.9375,595600
1986-07-11,10.5625,800400
1986-07-14,10.25,738000
1986-07-15,9.9375,2059200
1986-07-16,10.125,1160400
1986-07-17,10.1875,1046000
1986-07-18,10.25,1420000
1986-07-21,10.25,322800
1986-07-22,10.1875,390800
1986-07-23,10.0625,1004000
1986-07-24,9.9375,1071600
1986-07-25,10.0625,688400
1986-07-28,10.125,414800
1986-07-29,10.1875,278400
1986-07-30,10.125,459200
1986-07-31,10.0625,1213600
1986-08-01,9.75,1118000
1986-08-04,9.75,892400
1986-08-05,9.5625,868800
1986-08-06,9.125,550400
1986-08-07,8.375,7560000
1986-08-08,8.875,2802000
1986-08-11,9.125,1428000
1986-08-12,9.375,1155200
1986-08-13,9.6875,865600
1986-08-14,9.5,762000
1986-08-15,9.375,654400
1986-08-18,9.6875,606800
1986-08-19,9.5625,2744000
1986-08-20,9.5,500000
1986-08-21,9.4375,353200
1986-08-22,9.375,286000
1986-08-25,9.25,766400
1986-08-26,9.375,408800
1986-08-27,9.3125,686400
1986-08-28,9.1875,286000
1986-08-29,9.125,1128800
1986-09-02,8.75,916800
1986-09-03,8.9375,684400
1986-09-04,9.3125,576800
1986-09-05,9.0,961600
1986-09-08,8.75,1793200
1986-09-09,8.625,388000
1986-09-10,8.5,802400
1986-09-11,7.9375,6240000
1986-09-12,7.625,2066800
1986-09-15,7.625,1746800
1986-09-16,7.4375,1547200
1986-09-17,7.375,997600
1986-09-18,8.75,833200
1986-09-19,8.5625,928000
1986-09-22,8.5,464000
1986-09-23,8.25,436400
1986-09-24,8.5,649600
1986-09-25,8.3125,305600
1986-09-26,8.3125,278400
1986-09-29,8.25,724800
1986-09-30,8.5625,773200
1986-10-01,8.5625,668400
1986-10-02,8.5625,592000
1986-10-03,8.375,228000
1986-10-06,8.4375,467600
1986-10-07,8.4375,176000
1986-10-08,8.625,558800
1986-10-09,8.4375,243200
1986-10-10,8.3125,238400
1986-10-13,8.0625,362800
1986-10-14,8.5,612000
1986-10-15,8.75,606800
1986-10-16,8.6875,269200
1986-10-17,8.5,216000
1986-10-20,8.3125,595200
1986-10-21,8.1875,327200
1986-10-22,8.25,396000
1986-10-23,8.28125,1358400
1986-10-24,8.3125,809600
1986-10-27,8.3125,305200
1986-10-28,8.5,329200
1986-10-29,8.875,835600
1986-10-30,9.0625,973200
1986-10-31,9.0,632400
1986-11-03,9.0,408800
1986-11-04,8.9375,283200
1986-11-05,8.875,231200
1986-11-06,8.8125,434000
1986-11-07,8.78125,517200
1986-11-10,8.75,503200
1986-11-11,8.9375,142000
1986-11-12,8.96875,669600
1986-11-13,8.375,578800
1986-11-14,8.375,806000
1986-11-17,8.375,734400
1986-11-18,8.25,605600
1986-11-19,8.3125,495600
1986-11-20,8.5,828400
1986-11-21,8.9375,666800
1986-11-24,9.125,715600
1986-11-25,9.0,424000
1986-11-26,9.0625,171600
1986-11-28,9.0,236000
1986-12-01,8.875,596000
1986-12-02,8.9375,845600
1986-12-03,9.0625,1016800
1986-12-04,8.9375,643200
1986-12-05,8.5625,636400
1986-12-08,8.5,712000
1986-12-09,8.4375,302400
1986-12-10,8.375,341200
1986-12-11,8.0625,1172000
1986-12-12,8.0625,332000
1986-12-15,8.625,768400
1986-12-16,8.6875,770000
1986-12-17,8.5,345200
1986-12-18,8.4375,349200
1986-12-19,8.375,883600
1986-12-22,8.5,371600
1986-12-23,8.375,282800
1986-12-24,8.3125,189200
1986-12-26,8.375,180000
1986-12-29,8.375,462000
1986-12-30,8.1875,485200
1986-12-31,8.1875,378400
1987-01-02,8.34375,363600
1987-01-05,9.125,1222000
1987-01-06,8.875,1120000
1987-01-07,9.375,976800
1987-01-08,9.6875,1178800
1987-01-09,9.75,659600
1987-01-12,9.4375,1713600
1987-01-13,9.4375,1000000
1987-01-14,9.375,1237600
1987-01-15,9.0625,2141600
1987-01-16,8.875,722400
1987-01-19,9.125,1030000
1987-01-20,9.3125,895200
1987-01-21,9.125,923200
1987-01-22,9.375,372800
1987-01-23,9.4375,1741600
1987-01-26,9.25,456800
1987-01-27,9.6875,666400
1987-01-28,9.9375,937200
1987-01-29,9.6875,712000
1987-01-30,9.71875,445200
1987-02-02,9.6875,483600
1987-02-03,9.4375,739200
1987-02-04,9.75,1103600
1987-02-05,10.1875,904000
1987-02-06,9.8125,1008800
1987-02-09,9.5625,663200
1987-02-10,9.5625,423600
1987-02-11,9.8125,394000
1987-02-12,10.125,1348800
1987-02-13,10.25,1257600
1987-02-17,10.5625,1275200
1987-02-18,10.625,1346000
1987-02-19,10.875,432800
1987-02-20,10.8125,350000
1987-02-23,10.71875,479200
1987-02-24,10.75,934800
1987-02-25,10.96875,831600
1987-02-26,11.1875,720000
1987-02-27,11.0625,314000
1987-03-02,10.875,560400
1987-03-03,10.8125,411200
1987-03-04,11.09375,508000
1987-03-05,11.1875,684400
1987-03-06,11.1875,741200
1987-03-09,11.125,481600
1987-03-10,11.25,206000
1987-03-11,11.4375,837600
1987-03-12,11.375,597600
1987-03-13,12.125,3545200
1987-03-16,12.1875,504000
1987-03-17,12.375,1909600
1987-03-18,12.375,1048000
1987-03-19,12.375,594800
1987-03-20,12.5,1144000
1987-03-23,12.4375,636800
1987-03-24,12.4375,490400
1987-03-25,12.4375,939600
1987-03-26,12.75,2110800
1987-03-27,12.75,810400
1987-03-30,11.75,1305600
1987-03-31,12.0,876400
1987-04-01,11.875,830000
1987-04-02,11.875,566400
1987-04-03,12.0625,264800
1987-04-06,12.25,297600
1987-04-07,11.875,304000
1987-04-08,12.0,507200
1987-04-09,12.0,310400
1987-04-10,11.875,442400
1987-04-13,11.5,524000
1987-04-14,10.625,1610000
1987-04-15,10.8125,730400
1987-04-16,10.875,970800
1987-04-20,10.875,482800
1987-04-21,10.875,798800
1987-04-22,10.75,466800
1987-04-23,10.6875,288400
1987-04-24,10.1875,686000
1987-04-27,9.9375,927200
1987-04-28,10.0625,978800
1987-04-29,9.625,1031200
1987-04-30,10.625,1474800
1987-05-01,10.5625,763600
1987-05-04,10.4375,791600
1987-05-05,10.375,403600
1987-05-06,10.4375,1174800
1987-05-07,10.4375,630400
1987-05-08,10.6875,518800
1987-05-11,10.625,783600
1987-05-12,10.75,351200
1987-05-13,11.0,519200
1987-05-14,10.875,436400
1987-05-15,11.0,1227600
1987-05-18,11.0625,665200
1987-05-19,10.8125,691200
1987-05-20,10.75,1437200
1987-05-21,10.9375,426800
1987-05-22,10.8125,463600
1987-05-26,10.8125,851200
1987-05-27,10.9375,642800
1987-05-28,11.0,269600
1987-05-29,10.8125,454000
1987-06-01,10.625,270000
1987-06-02,10.375,1157200
1987-06-03,10.5625,454400
1987-06-04,10.625,339600
1987-06-05,10.875,298800
1987-06-08,10.84375,102000
1987-06-09,11.0625,553200
1987-06-10,11.625,1327600
1987-06-11,11.6875,438000
1987-06-12,12.0,802000
1987-06-15,11.59375,1014000
1987-06-16,11.75,950400
1987-06-17,11.75,305200
1987-06-18,11.875,716400
1987-06-19,11.625,1115200
1987-06-22,11.84375,1788800
1987-06-23,11.71875,522000
1987-06-24,11.59375,341200
1987-06-25,11.5,141200
1987-06-26,11.4375,665600
1987-06-29,11.4375,174000
1987-06-30,11.21875,658800
1987-07-01,11.25,284000
1987-07-02,11.5,1198000
1987-07-06,11.375,557200
1987-07-07,11.875,1249200
1987-07-08,11.6875,974800
1987-07-09,11.65625,676000
1987-07-10,11.8125,1556400
1987-07-13,12.125,1487200
1987-07-14,12.25,2787200
1987-07-15,12.0,836400
1987-07-16,11.9375,608800
1987-07-17,11.75,574000
1987-07-20,11.6875,333200
1987-07-21,11.6875,506400
1987-07-22,11.625,419600
1987-07-23,11.40625,607200
1987-07-24,11.5625,157600
1987-07-27,11.3125,364000
1987-07-28,11.375,281200
1987-07-29,11.5625,695200
1987-07-30,11.9375,636400
1987-07-31,11.9375,402000
1987-08-03,12.0625,455200
1987-08-04,12.0625,434400
1987-08-05,12.0625,400800
1987-08-06,12.125,300800
1987-08-07,12.3125,726800
1987-08-10,12.5,2041600
1987-08-11,12.875,2023600
1987-08-12,12.875,939600
1987-08-13,12.6875,1182000
1987-08-14,12.6875,324400
1987-08-17,12.5625,548000
1987-08-18,12.25,503200
1987-08-19,12.1875,449200
1987-08-20,12.5625,536800
1987-08-21,12.875,403600
1987-08-24,12.6875,344000
1987-08-25,12.75,244400
1987-08-26,12.75,475200
1987-08-27,12.75,652800
1987-08-28,12.5,486400
1987-08-31,12.5,378400
1987-09-01,12.1875,633600
1987-09-02,12.1875,476800
1987-09-03,12.0625,445200
1987-09-04,11.9375,405600
1987-09-08,11.4375,1049200
1987-09-09,11.28125,1743600
1987-09-10,11.625,691200
1987-09-11,11.625,207600
1987-09-14,11.625,589200
1987-09-15,11.34375,787600
1987-09-16,11.0,736800
1987-09-17,10.875,932000
1987-09-18,11.3125,531200
1987-09-21,10.9375,1220800
1987-09-22,11.5,1428400
1987-09-23,11.5625,1136400
1987-09-24,11.4375,267600
1987-09-25,11.8125,391200
1987-09-28,11.875,432400
1987-09-29,11.75,264400
1987-09-30,11.5625,539200
1987-10-01,11.8125,1227200
1987-10-02,11.75,56800
1987-10-05,11.6875,217600
1987-10-06,11.1875,829600
1987-10-07,10.9375,576800
1987-10-08,10.8125,429600
1987-10-09,10.1875,3379600
1987-10-12,9.8125,1616400
1987-10-13,9.75,2360400
1987-10-14,9.6875,2875600
1987-10-15,9.375,1123200
1987-10-16,9.125,1344800
1987-10-19,8.0,1888800
1987-10-20,7.4375,2169600
1987-10-21,8.1875,3149200
1987-10-22,7.875,1898400
1987-10-23,7.5625,2797200
1987-10-26,6.875,1159600
1987-10-27,7.0625,2040400
1987-10-28,6.9375,2135600
1987-10-29,7.4375,2072000
1987-10-30,7.75,980400
1987-11-02,8.0,960400
1987-11-03,7.6875,468400
1987-11-04,7.75,1114800
1987-11-05,7.6875,1002400
1987-11-06,7.5625,1094800
1987-11-09,7.6875,1442800
1987-11-10,7.4375,510800
1987-11-11,7.5625,510000
1987-11-12,7.3125,563200
1987-11-13,7.25,951200
1987-11-16,7.1875,815200
1987-11-17,7.0625,350400
1987-11-18,6.9375,1465600
1987-11-19,6.75,2077600
1987-11-20,6.8125,1171200
1987-11-23,7.0625,1280400
1987-11-24,7.3125,1074000
1987-11-25,7.25,408800
1987-11-27,7.0,267600
1987-11-30,6.75,901200
1987-12-01,6.625,778000
