Date,Close,Volume
1994-02-14,7.875,1136800
1994-02-15,7.875,742600
1994-02-16,8.0,538600
1994-02-17,8.0,420400
1994-02-18,8.125,393600
1994-02-22,8.0,149200
1994-02-23,7.75,235000
1994-02-24,7.75,274800
1994-02-25,7.75,15000
1994-02-28,7.75,529600
1994-03-01,7.75,696000
1994-03-02,7.625,142000
1994-03-03,7.75,80800
1994-03-04,7.625,31200
1994-03-07,8.0,3800
1994-03-08,7.875,209600
1994-03-09,8.125,135600
1994-03-10,9.0,158600
1994-03-11,9.125,122200
1994-03-14,9.5625,230600
1994-03-15,9.25,100200
1994-03-16,9.0625,70000
1994-03-17,9.25,3200
1994-03-18,8.625,20800
1994-03-21,9.125,94600
1994-03-22,8.875,47400
1994-03-23,9.0,40200
1994-03-24,8.9375,143600
1994-03-25,9.125,17400
1994-03-28,9.25,174600
1994-03-29,8.875,45400
1994-03-30,8.625,103600
1994-03-31,8.125,458600
1994-04-04,7.5,174800
1994-04-05,8.0,25000
1994-04-06,8.125,8600
1994-04-07,8.0,21400
1994-04-08,8.125,36400
1994-04-11,7.75,7000
1994-04-12,7.75,41200
1994-04-13,7.75,42800
1994-04-14,7.625,50800
1994-04-15,7.5,65400
1994-04-18,7.25,46600
1994-04-19,6.75,185600
1994-04-20,6.75,60200
1994-04-21,6.25,46600
1994-04-22,6.375,45800
1994-04-25,6.25,239200
1994-04-26,6.25,119200
1994-04-28,6.3125,430800
1994-04-29,7.0,195400
1994-05-02,7.25,49800
1994-05-03,7.9375,276400
1994-05-04,7.875,46400
1994-05-05,7.875,21800
1994-05-06,7.625,87400
1994-05-09,7.5,53000
1994-05-10,7.5625,44000
1994-05-11,7.875,19000
1994-05-12,7.5,600
1994-05-13,7.5625,14600
1994-05-16,7.25,19000
1994-05-17,6.625,86200
1994-05-18,7.0,20000
1994-05-19,6.8125,158200
1994-05-20,7.125,22000
1994-05-23,7.125,8400
1994-05-24,7.125,0
1994-05-25,7.125,0
1994-05-26,7.0,8000
1994-05-27,6.9375,10400
1994-05-31,7.0,2000
1994-06-01,6.75,3200
1994-06-02,6.875,11400
1994-06-03,6.875,60200
1994-06-06,7.0,8200
1994-06-07,7.0,0
1994-06-08,8.25,102000
1994-06-09,7.625,89600
1994-06-10,7.5,195600
1994-06-13,7.6875,6000
1994-06-14,7.3125,153800
1994-06-15,7.25,123000
1994-06-16,7.4375,25000
1994-06-17,7.25,2400
1994-06-20,7.5,399600
1994-06-21,7.125,1343800
1994-06-22,7.375,14200
1994-06-23,7.125,8000
1994-06-24,7.25,6000
1994-06-27,7.25,11400
1994-06-28,7.5,14200
1994-06-29,7.75,32600
1994-06-30,7.75,15600
1994-07-01,7.875,9400
1994-07-05,7.875,0
1994-07-06,7.75,43200
1994-07-07,8.0,74600
1994-07-08,8.125,50600
1994-07-11,7.875,99400
1994-07-12,8.125,66200
1994-07-13,8.0,19400
1994-07-14,8.75,206400
1994-07-15,8.875,35600
1994-07-18,9.0625,100400
1994-07-19,9.0,103200
1994-07-20,8.875,37800
1994-07-21,8.625,10200
1994-07-22,9.0,59600
1994-07-25,9.0625,28400
1994-07-26,9.125,114600
1994-07-27,9.125,17000
1994-07-28,9.0,13600
1994-07-29,9.0,433000
1994-08-01,8.25,146000
1994-08-02,8.5,21200
1994-08-03,8.375,28400
1994-08-04,8.25,16200
1994-08-05,7.75,9600
1994-08-08,7.25,55400
1994-08-09,7.125,111800
1994-08-10,7.125,52000
1994-08-11,7.25,170400
1994-08-12,7.375,42800
1994-08-15,7.375,89800
1994-08-16,7.5,482400
1994-08-17,8.625,1322000
1994-08-18,9.375,1322000
1994-08-19,10.0,1436000
1994-08-22,10.875,1396800
1994-08-23,10.875,1383600
1994-08-24,10.875,815000
1994-08-25,10.625,191000
1994-08-26,10.75,354000
1994-08-29,10.6875,321200
1994-08-30,11.375,1412800
1994-08-31,11.625,1192800
1994-09-01,11.625,479800
1994-09-02,11.75,275800
1994-09-06,11.625,174400
1994-09-07,12.0,578200
1994-09-08,12.0,211200
1994-09-09,12.0,186400
1994-09-12,11.625,71400
1994-09-13,11.875,206400
1994-09-14,11.5,35800
1994-09-15,11.625,53800
1994-09-16,11.625,85400
1994-09-19,11.75,289000
1994-09-20,11.625,102200
1994-09-21,11.25,50000
1994-09-22,10.9375,237000
1994-09-23,10.75,66600
1994-09-26,10.25,199200
1994-09-27,10.75,109600
1994-09-28,11.0,96000
1994-09-29,11.125,225800
1994-09-30,11.09375,45800
1994-10-03,11.125,23600
1994-10-04,10.5,286800
1994-10-05,10.4375,182600
1994-10-06,10.5,12600
1994-10-07,10.25,70000
1994-10-10,10.25,74400
1994-10-11,10.875,178200
1994-10-12,10.5,20600
1994-10-13,11.0,231600
1994-10-14,10.625,11600
1994-10-17,12.25,800600
1994-10-18,13.625,528400
1994-10-19,12.625,422200
1994-10-20,12.75,739800
1994-10-21,12.875,163000
1994-10-24,12.375,331200
1994-10-25,12.375,114000
1994-10-26,12.0,250400
1994-10-27,11.875,82200
1994-10-28,12.0,178000
1994-10-31,12.0,609600
1994-11-01,12.8125,570600
1994-11-02,12.5,126600
1994-11-03,12.125,55600
1994-11-04,12.125,21800
1994-11-07,12.125,93400
1994-11-08,11.75,114000
1994-11-09,12.0,208200
1994-11-10,11.625,16600
1994-11-11,11.75,313800
1994-11-14,11.875,68200
1994-11-15,11.5,59600
1994-11-16,11.5625,62400
1994-11-17,10.625,208800
1994-11-18,10.8125,131200
1994-11-21,10.25,166200
1994-11-22,9.75,61200
1994-11-23,10.125,687200
1994-11-25,10.625,85600
1994-11-28,10.5,160400
1994-11-29,10.875,68800
1994-11-30,11.25,363400
1994-12-01,11.0625,90600
1994-12-02,11.1875,82400
1994-12-05,10.125,72600
1994-12-06,10.75,47600
1994-12-07,10.4375,533000
1994-12-08,10.0,253200
1994-12-09,9.75,236800
1994-12-12,8.875,246000
1994-12-13,9.75,225200
1994-12-14,9.75,52200
1994-12-15,9.75,204800
1994-12-16,10.25,208600
1994-12-19,10.4375,66000
1994-12-20,10.6875,123600
1994-12-21,10.25,41400
1994-12-22,9.875,244000
1994-12-23,9.8125,16200
1994-12-27,10.125,75000
1994-12-28,10.125,60000
1994-12-29,9.75,153800
1994-12-30,9.75,45400
1995-01-03,9.375,39200
1995-01-04,8.9375,89800
1995-01-05,8.0,1247600
1995-01-06,8.75,562800
1995-01-09,8.375,435200
1995-01-10,8.75,508800
1995-01-11,8.625,261000
1995-01-12,8.6875,284000
1995-01-13,8.71875,169400
1995-01-16,8.8125,186200
1995-01-17,8.875,267800
1995-01-18,9.5,576400
1995-01-19,9.125,68800
1995-01-20,9.375,168600
1995-01-23,9.5,286400
1995-01-24,9.625,779600
1995-01-25,9.625,192000
1995-01-26,9.5,45000
1995-01-27,9.9375,562800
1995-01-30,9.625,209600
1995-01-31,9.625,71600
1995-02-01,9.5,165600
1995-02-02,9.625,57600
1995-02-03,9.5,300200
1995-02-06,9.375,216400
1995-02-07,9.375,363600
1995-02-08,9.0,62200
1995-02-09,8.625,939200
1995-02-10,7.5,1643800
1995-02-13,7.5,655000
1995-02-14,7.125,663000
1995-02-15,7.5,1032400
1995-02-16,7.875,735400
1995-02-17,7.6875,501200
1995-02-21,7.5625,102800
1995-02-22,7.5,204400
1995-02-23,7.375,358400
1995-02-24,7.875,221400
1995-02-27,7.875,196800
1995-02-28,8.5,1459200
1995-03-01,8.625,712800
1995-03-02,8.1875,307200
1995-03-03,8.875,573600
1995-03-06,8.875,272000
1995-03-07,9.625,1296200
1995-03-08,10.0,1062400
1995-03-09,10.125,353600
1995-03-10,10.0,570600
1995-03-13,10.5,804000
1995-03-14,10.75,548400
1995-03-15,11.0,974200
1995-03-16,11.375,1080800
1995-03-17,11.1875,329400
1995-03-20,10.5,595600
1995-03-21,10.5,274600
1995-03-22,10.625,296000
1995-03-23,10.8125,320000
1995-03-24,11.5,504600
1995-03-27,11.0,204000
1995-03-28,11.0,232800
1995-03-29,11.1875,257800
1995-03-30,10.875,118400
1995-03-31,11.375,166000
1995-04-03,11.375,75400
1995-04-04,11.125,198600
1995-04-05,10.5,115800
1995-04-06,10.625,70400
1995-04-07,10.625,129400
1995-04-10,10.375,285000
1995-04-11,10.625,138800
1995-04-12,10.625,49400
1995-04-13,10.375,201600
1995-04-17,10.1875,73600
1995-04-18,10.0625,86200
1995-04-19,9.875,184200
1995-04-20,10.25,500200
1995-04-21,10.375,184800
1995-04-24,10.0,191600
1995-04-25,10.25,259400
1995-04-26,10.75,193000
1995-04-27,11.0,924400
1995-04-28,10.75,328400
1995-05-01,10.90625,547400
1995-05-02,11.25,536000
1995-05-03,11.8125,878400
1995-05-04,11.5,795400
1995-05-05,11.25,288200
1995-05-08,11.40625,196400
1995-05-09,11.5,131200
1995-05-10,11.25,149400
1995-05-11,10.75,396000
1995-05-12,11.125,243000
1995-05-15,11.25,274800
1995-05-16,11.125,190800
1995-05-17,11.375,531000
1995-05-18,11.75,306400
1995-05-19,11.53125,176800
1995-05-22,11.625,308800
1995-05-23,12.125,473600
1995-05-24,11.75,352400
1995-05-25,10.5,1577000
1995-05-26,10.75,193800
1995-05-30,10.25,183200
1995-05-31,10.375,121800
1995-06-01,10.625,78200
1995-06-02,10.375,79000
1995-06-05,11.25,283200
1995-06-06,12.0,1380200
1995-06-07,12.125,435800
1995-06-08,12.125,493600
1995-06-09,11.75,171800
1995-06-12,11.75,138400
1995-06-13,11.875,160200
1995-06-14,11.75,125600
1995-06-15,11.625,128000
1995-06-16,11.5,387200
1995-06-19,11.625,213800
1995-06-20,11.8125,207400
1995-06-21,12.125,564000
1995-06-22,12.7421875,779000
1995-06-23,12.9375,563800
1995-06-26,12.25,668200
1995-06-27,12.5,339600
1995-06-28,12.0,123000
1995-06-29,12.5,297400
1995-06-30,12.5078125,90200
1995-07-03,12.4921875,49000
1995-07-05,12.15625,210000
1995-07-06,12.9375,295400
1995-07-07,12.5,455800
1995-07-10,12.5,495000
1995-07-11,12.5,231200
1995-07-12,12.375,463600
1995-07-13,11.875,897000
1995-07-14,12.0,213000
1995-07-17,12.25,455800
1995-07-18,12.0625,292800
1995-07-19,11.5,389200
1995-07-20,12.0625,683400
1995-07-21,11.875,238400
1995-07-24,12.125,404600
1995-07-25,11.9375,264600
1995-07-26,12.125,256200
1995-07-27,11.9375,214000
1995-07-28,12.0,205800
1995-07-31,12.3125,796600
1995-08-01,12.0,290200
1995-08-02,11.53125,379400
1995-08-03,11.25,358800
1995-08-04,11.625,178600
1995-08-07,11.9375,238200
1995-08-08,11.9921875,107000
1995-08-09,11.875,151800
1995-08-10,11.625,89600
1995-08-11,11.875,281200
1995-08-14,12.25,339400
1995-08-15,12.125,146800
1995-08-16,12.125,195800
1995-08-17,12.125,203800
1995-08-18,12.375,344000
1995-08-21,12.125,155400
1995-08-22,12.125,74400
1995-08-23,12.125,169800
1995-08-24,12.0,412200
1995-08-25,12.0,56800
1995-08-28,11.96875,74400
1995-08-29,11.125,221000
1995-08-30,10.75,656800
1995-08-31,9.75,3294600
1995-09-01,10.25,391400
1995-09-05,9.75,379000
1995-09-06,9.875,575600
1995-09-07,10.0,805000
1995-09-08,10.125,145800
1995-09-11,11.0,635400
1995-09-12,10.7421875,509800
1995-09-13,10.25,273600
1995-09-14,10.125,422400
1995-09-15,10.0,285400
1995-09-18,9.5,811600
1995-09-19,9.875,380600
1995-09-20,9.75,111200
1995-09-21,9.5,133400
1995-09-22,9.5,143000
1995-09-25,9.375,76800
1995-09-26,9.375,174600
1995-09-27,9.25,166600
1995-09-28,9.0,143200
1995-09-29,8.875,239400
1995-10-02,7.875,747800
1995-10-03,8.25,452000
1995-10-04,8.125,162200
1995-10-05,8.5,134800
1995-10-06,8.5,123000
1995-10-09,7.25,237400
1995-10-10,7.0625,550800
1995-10-11,7.5625,371000
1995-10-12,8.375,425000
1995-10-13,8.25,363800
1995-10-16,8.5,204200
1995-10-17,7.875,542200
1995-10-18,8.3125,310600
1995-10-19,9.0,629200
1995-10-20,8.875,181600
1995-10-23,8.625,90200
1995-10-24,8.5,115600
1995-10-25,8.375,104800
1995-10-26,8.125,185600
1995-10-27,8.0,178800
1995-10-30,7.7578125,153400
1995-10-31,8.125,253400
1995-11-01,8.125,87600
1995-11-02,8.1171875,92600
1995-11-03,9.0,341200
1995-11-06,9.25,401600
1995-11-07,8.625,335400
1995-11-08,8.25,204800
1995-11-09,7.625,1115600
1995-11-10,4.875,4725200
1995-11-13,5.25,869600
1995-11-14,5.25,317000
1995-11-15,5.0078125,358200
1995-11-16,5.375,404600
1995-11-17,5.0625,261800
1995-11-20,5.375,276000
1995-11-21,5.2421875,192600
1995-11-22,5.25,273800
1995-11-24,5.125,53600
1995-11-27,5.3671875,346800
1995-11-28,5.375,488400
1995-11-29,5.1171875,623400
1995-11-30,5.9375,663600
1995-12-01,7.125,1402800
1995-12-04,6.75,680400
1995-12-05,6.25,342000
1995-12-06,6.625,174000
1995-12-07,6.375,162600
1995-12-08,5.9375,242800
1995-12-11,6.375,102400
1995-12-12,6.0078125,121800
1995-12-13,6.1875,107600
1995-12-14,6.09375,530800
1995-12-15,6.25,124600
1995-12-18,6.125,196600
1995-12-19,6.0,144000
1995-12-20,6.25,379400
1995-12-21,6.375,174000
1995-12-22,6.2421875,408200
1995-12-26,6.09375,188800
1995-12-27,6.0,159400
1995-12-28,6.0,428200
1995-12-29,5.75,625800
1996-01-02,6.125,134200
1996-01-03,6.625,178600
1996-01-04,5.875,171000
1996-01-05,6.5,77000
1996-01-08,6.5,18800
1996-01-09,6.0,67800
1996-01-10,6.0,135000
1996-01-11,5.375,244000
1996-01-12,5.75,131600
1996-01-15,5.4375,139200
1996-01-16,5.375,115600
1996-01-17,5.25,116800
1996-01-18,5.0,100800
1996-01-19,5.125,111600
1996-01-22,4.9375,86800
1996-01-23,4.9375,160000
1996-01-24,4.9375,158000
1996-01-25,5.125,117200
1996-01-26,4.6875,975800
1996-01-29,4.9375,758400
1996-01-30,5.0625,507400
1996-01-31,4.75,326400
1996-02-01,4.625,162000
1996-02-02,4.9921875,398800
1996-02-05,4.9921875,403200
1996-02-06,4.9375,263800
1996-02-07,4.75,369200
1996-02-08,4.625,115000
1996-02-09,4.6875,158000
1996-02-12,4.5625,116800
1996-02-13,4.5,141200
1996-02-14,4.46875,98000
1996-02-15,4.375,122000
1996-02-16,4.625,121600
1996-02-20,4.5,93800
1996-02-21,4.5,142600
1996-02-22,4.5,252600
1996-02-23,4.5,126600
1996-02-26,4.5,95200
1996-02-27,4.7421875,117200
1996-02-28,4.75,136800
1996-02-29,4.75,77000
1996-03-01,4.75,113000
1996-03-04,5.1875,293400
1996-03-05,5.25,258800
1996-03-06,5.125,165200
1996-03-07,4.9375,73800
1996-03-08,4.75,202800
1996-03-11,5.1875,172000
1996-03-12,5.2421875,199800
1996-03-13,5.75,625800
1996-03-14,5.375,517400
1996-03-15,5.9921875,314200
1996-03-18,6.375,597000
1996-03-19,6.0,291800
1996-03-20,6.25,187600
1996-03-21,6.375,124600
1996-03-22,6.375,81800
1996-03-25,5.75,104000
1996-03-26,5.625,62400
1996-03-27,6.0,126000
1996-03-28,6.0,30000
1996-03-29,6.25,108000
1996-04-01,6.03125,146400
1996-04-02,6.0,48000
1996-04-03,6.125,197600
1996-04-04,6.125,103400
1996-04-08,6.15625,328400
1996-04-09,6.625,348000
1996-04-10,6.875,958000
1996-04-11,7.125,540600
1996-04-12,7.3125,270800
1996-04-15,7.125,162200
1996-04-16,6.4375,713000
1996-04-17,5.75,462200
1996-04-18,5.75,125400
1996-04-19,6.25,318200
1996-04-22,6.0,258800
1996-04-23,6.3125,369000
1996-04-24,6.375,43800
1996-04-25,6.3125,96400
1996-04-26,6.125,166400
1996-04-29,6.125,165000
1996-04-30,6.375,162600
1996-05-01,6.28125,113600
1996-05-02,6.1875,151400
1996-05-03,6.375,70600
1996-05-06,6.0,76600
1996-05-07,6.125,99200
1996-05-08,6.125,57000
1996-05-09,6.125,40200
1996-05-10,5.875,27800
1996-05-13,6.125,50000
1996-05-14,5.75,96600
1996-05-15,5.7578125,90800
1996-05-16,6.0,63400
1996-05-17,6.0,73400
1996-05-20,5.9375,172600
1996-05-21,6.0,118000
1996-05-22,5.75,45800
1996-05-23,5.75,170600
1996-05-24,5.875,112800
1996-05-28,5.875,181000
1996-05-29,5.75,110800
1996-05-30,5.875,127400
1996-05-31,5.875,122800
1996-06-03,5.75,123400
1996-06-04,5.625,58000
1996-06-05,5.875,92200
1996-06-06,5.75,110600
1996-06-07,5.625,92800
1996-06-10,5.375,96800
1996-06-11,5.5,165000
1996-06-12,5.75,207800
1996-06-13,5.4375,126400
1996-06-14,5.4375,99600
1996-06-17,5.125,123800
1996-06-18,5.125,50400
1996-06-19,5.1875,47200
1996-06-20,4.875,274600
1996-06-21,4.75,186400
1996-06-24,4.75,47400
1996-06-25,4.5,311800
1996-06-26,4.625,189600
1996-06-27,4.875,80600
1996-06-28,4.625,169600
1996-07-01,4.6875,77400
1996-07-02,4.9375,91000
1996-07-03,5.25,105400
1996-07-05,4.75,37200
1996-07-08,5.0,75800
1996-07-09,5.0,47600
1996-07-10,5.125,57800
1996-07-11,4.625,95800
1996-07-12,4.625,68600
1996-07-15,4.375,78400
1996-07-16,4.375,139800
1996-07-17,4.5625,128200
1996-07-18,4.625,95000
1996-07-19,4.875,78000
1996-07-22,4.75,73600
1996-07-23,4.125,175600
1996-07-24,4.0,189800
1996-07-25,4.4375,71200
1996-07-26,4.3125,49600
1996-07-29,4.625,39000
1996-07-30,4.375,53400
1996-07-31,4.4375,80800
1996-08-01,4.375,61000
1996-08-02,4.375,82400
1996-08-05,4.375,62800
1996-08-06,4.3828125,38400
1996-08-07,4.5,95400
1996-08-08,4.5,26200
1996-08-09,4.5625,130800
1996-08-12,4.5,61600
1996-08-13,4.625,51800
1996-08-14,4.5,56600
1996-08-15,4.5,36400
1996-08-16,4.5,57400
1996-08-19,4.4375,38600
1996-08-20,4.4375,43200
1996-08-21,4.375,79200
1996-08-22,4.125,67800
1996-08-23,4.1875,276600
1996-08-26,4.125,28000
1996-08-27,4.3125,60800
1996-08-28,4.2578125,41200
1996-08-29,4.6171875,98200
1996-08-30,4.6171875,23400
1996-09-03,4.625,48600
1996-09-04,4.625,15600
1996-09-05,4.28125,56000
1996-09-06,4.25,41600
1996-09-09,4.2578125,39800
1996-09-10,4.5,57600
1996-09-11,4.25,28600
1996-09-12,4.125,37200
1996-09-13,4.125,141200
1996-09-16,4.0078125,72600
1996-09-17,3.875,111400
1996-09-18,4.0625,407800
1996-09-19,4.0,102200
1996-09-20,4.0,65000
1996-09-23,3.9375,39600
1996-09-24,3.875,84400
1996-09-25,3.875,123000
1996-09-26,3.9375,89200
1996-09-27,3.9921875,114200
1996-09-30,4.125,216200
1996-10-01,3.875,101200
1996-10-02,3.9375,65200
1996-10-03,3.9375,51800
1996-10-04,3.875,436200
1996-10-07,4.0625,225800
1996-10-08,4.25,280000
1996-10-09,4.125,88400
1996-10-10,4.0,159400
1996-10-11,4.0,90800
1996-10-14,4.125,193400
1996-10-15,4.0625,58200
1996-10-16,4.0,176000
1996-10-17,4.0,40000
1996-10-18,3.9375,35800
1996-10-21,3.8125,293800
1996-10-22,3.9375,147600
1996-10-23,4.0,586400
1996-10-24,4.375,449800
1996-10-25,4.4375,246600
1996-10-28,4.4375,264400
1996-10-29,4.25,122600
1996-10-30,4.40625,429600
1996-10-31,4.4921875,125000
1996-11-01,4.4921875,92200
1996-11-04,4.375,128600
1996-11-05,4.625,528000
1996-11-06,4.7421875,143800
1996-11-07,4.6796875,150400
1996-11-08,4.5625,110800
1996-11-11,4.625,74600
1996-11-12,4.6875,86200
1996-11-13,4.65625,306200
1996-11-14,4.5,103000
1996-11-15,4.375,98400
1996-11-18,4.25,89000
1996-11-19,4.1875,258600
1996-11-20,4.3125,225600
1996-11-21,4.5,225200
1996-11-22,4.6875,363000
1996-11-25,4.6875,108600
1996-11-26,4.6875,78200
1996-11-27,4.625,199600
1996-11-29,4.625,83200
1996-12-02,4.5625,193800
1996-12-03,5.1875,648200
1996-12-04,5.5,480200
1996-12-05,5.375,667400
1996-12-06,5.0,319000
1996-12-09,5.0,305600
1996-12-10,5.25,228400
1996-12-11,4.875,211800
1996-12-12,5.0625,133600
1996-12-13,4.9921875,72200
1996-12-16,4.75,103800
1996-12-17,4.75,135800
1996-12-18,4.6875,86600
1996-12-19,4.6875,382000
1996-12-20,4.9375,138600
1996-12-23,4.75,138400
1996-12-24,4.6875,44800
1996-12-26,4.5,143000
1996-12-27,4.4453125,64000
1996-12-30,4.4375,260400
1996-12-31,4.25,286200
1997-01-02,4.6875,114200
1997-01-03,4.625,26200
1997-01-06,4.75,147600
1997-01-07,5.125,197600
1997-01-08,5.25,665600
1997-01-09,5.0625,124000
1997-01-10,5.0625,87800
1997-01-13,5.3125,178800
1997-01-14,5.1875,206200
1997-01-15,4.9375,81000
1997-01-16,5.1875,254600
1997-01-17,5.21875,270000
1997-01-20,5.1875,139000
1997-01-21,5.1875,170400
1997-01-22,5.1875,225600
1997-01-23,5.1875,213600
1997-01-24,5.3125,307000
1997-01-27,5.6875,643600
1997-01-28,6.0625,1546400
1997-01-29,6.1875,678400
1997-01-30,6.0,1155800
1997-01-31,5.9375,856000
1997-02-03,5.34375,462400
1997-02-04,5.5,449800
1997-02-05,5.375,490200
1997-02-06,5.5625,252200
1997-02-07,5.6875,292400
1997-02-10,5.625,331600
1997-02-11,5.6875,174000
1997-02-12,5.5625,463400
1997-02-13,5.5625,359600
1997-02-14,5.625,85200
1997-02-18,5.4375,169200
1997-02-19,5.3125,181000
1997-02-20,5.25,222200
1997-02-21,5.375,152000
1997-02-24,5.25,134200
1997-02-25,5.375,217400
1997-02-26,5.375,136200
1997-02-27,5.4921875,153200
1997-02-28,4.875,284000
1997-03-03,5.0,232400
1997-03-04,5.0546875,125800
1997-03-05,4.9375,56200
1997-03-06,4.78125,125600
1997-03-07,4.8125,159000
1997-03-10,5.0,151200
1997-03-11,5.0625,82800
1997-03-12,4.6875,113600
1997-03-13,4.625,225800
1997-03-14,4.6875,119000
1997-03-17,4.875,52600
1997-03-18,4.5625,44800
1997-03-19,4.40625,153000
1997-03-20,4.6875,156400
1997-03-21,4.5,78000
1997-03-24,4.5,52800
1997-03-25,4.5,169000
1997-03-26,4.53125,86400
1997-03-27,4.5625,69000
1997-03-31,4.625,98600
1997-04-01,4.625,169600
1997-04-02,4.75,115200
1997-04-03,4.6875,64200
1997-04-04,5.0,108000
1997-04-07,5.0625,218000
1997-04-08,4.9375,274000
1997-04-09,4.9375,38600
1997-04-10,4.9921875,13800
1997-04-11,4.78125,57800
1997-04-14,4.9375,119000
1997-04-15,4.8125,120800
1997-04-16,4.9375,26800
1997-04-17,4.9375,32000
1997-04-18,4.75,165600
1997-04-21,4.4375,257400
1997-04-22,4.4375,155600
1997-04-23,4.375,151800
1997-04-24,4.5,147400
