Date,Close,Volume
1992-02-28,4.046875,31921600
1992-03-02,3.671875,3063200
1992-03-03,3.609375,1629600
1992-03-04,3.71875,792800
1992-03-05,3.515625,621600
1992-03-06,3.59375,822400
1992-03-09,3.625,316000
1992-03-10,3.765625,670400
1992-03-11,3.71875,555200
1992-03-12,3.765625,293600
1992-03-13,3.703125,379200
1992-03-16,3.609375,346400
1992-03-17,3.578125,212000
1992-03-18,3.578125,440800
1992-03-19,3.53125,366400
1992-03-20,3.421875,538400
1992-03-23,3.21875,1220800
1992-03-24,3.1875,472000
1992-03-25,3.203125,420000
1992-03-26,3.15625,269600
1992-03-27,3.0625,487200
1992-03-30,3.09375,1059200
1992-03-31,3.140625,420000
1992-04-01,3.34375,680000
1992-04-02,3.234375,560800
1992-04-03,3.265625,269600
1992-04-06,3.484375,1020800
1992-04-07,3.4375,665600
1992-04-08,3.3125,470400
1992-04-09,3.375,174400
1992-04-10,3.453125,428000
1992-04-13,3.46875,138400
1992-04-14,3.59375,416000
1992-04-15,3.53125,109600
1992-04-16,3.421875,218400
1992-04-20,3.3125,631200
1992-04-21,3.25,329600
1992-04-22,3.21875,192800
1992-04-23,3.3125,394400
1992-04-24,3.28125,276800
1992-04-27,3.296875,289600
1992-04-28,3.0625,1251200
1992-04-29,3.0625,644000
1992-04-30,3.0625,1656000
1992-05-01,3.0,241600
1992-05-04,3.0,300800
1992-05-05,2.890625,442400
1992-05-06,3.109375,711200
1992-05-07,3.125,267200
1992-05-08,3.0625,198400
1992-05-11,3.140625,193600
1992-05-12,3.09375,80000
1992-05-13,3.078125,163200
1992-05-14,3.109375,59200
1992-05-15,3.046875,24800
1992-05-18,3.015625,117600
1992-05-19,3.03125,206400
1992-05-20,3.078125,276800
1992-05-21,3.046875,340000
1992-05-22,3.078125,261600
1992-05-26,3.078125,128000
1992-05-27,3.046875,245600
1992-05-28,2.984375,409600
1992-05-29,2.984375,352800
1992-06-01,3.046875,100800
1992-06-02,3.078125,279200
1992-06-03,3.203125,294400
1992-06-04,3.234375,276000
1992-06-05,3.171875,260000
1992-06-08,3.078125,120000
1992-06-09,3.03125,184000
1992-06-10,2.984375,103200
1992-06-11,2.953125,100800
1992-06-12,2.765625,736800
1992-06-15,2.609375,289600
1992-06-16,2.484375,1275200
1992-06-17,2.46875,278400
1992-06-18,2.359375,668800
1992-06-19,2.375,188000
1992-06-22,2.3125,386400
1992-06-23,2.296875,220000
1992-06-24,2.328125,167200
1992-06-25,2.296875,364000
1992-06-26,2.34375,200800
1992-06-29,2.453125,199200
1992-06-30,2.671875,584800
1992-07-01,2.953125,507200
1992-07-02,3.03125,1063200
1992-07-06,2.875,555200
1992-07-07,2.8125,792000
1992-07-08,2.671875,449600
1992-07-09,2.625,556800
1992-07-10,2.671875,255200
1992-07-13,2.953125,1636000
1992-07-14,3.03125,814400
1992-07-15,2.984375,210400
1992-07-16,3.109375,580000
1992-07-17,3.15625,470400
1992-07-20,3.125,389600
1992-07-21,3.375,1901600
1992-07-22,3.46875,1020000
1992-07-23,3.28125,865600
1992-07-24,3.140625,1016000
1992-07-27,3.203125,186400
1992-07-28,3.203125,180000
1992-07-29,3.1875,348000
1992-07-30,3.15625,224000
1992-07-31,3.203125,235200
1992-08-03,3.171875,76800
1992-08-04,3.171875,204000
1992-08-05,3.109375,404800
1992-08-06,3.0625,125600
1992-08-07,3.0625,156000
1992-08-10,3.015625,106400
1992-08-11,3.03125,394400
1992-08-12,3.0,111200
1992-08-13,2.953125,85600
1992-08-14,3.0,93600
1992-08-17,3.0,40800
1992-08-18,2.9375,261600
1992-08-19,2.875,554400
1992-08-20,2.84375,152800
1992-08-21,2.84375,181600
1992-08-24,2.8125,179200
1992-08-25,2.796875,108000
1992-08-26,2.796875,56800
1992-08-27,2.828125,132000
1992-08-28,2.796875,298400
1992-08-31,2.90625,123200
1992-09-01,2.9375,316800
1992-09-02,3.0625,218400
1992-09-03,3.0,284000
1992-09-04,2.953125,265600
1992-09-08,2.828125,373600
1992-09-09,2.8125,1018400
1992-09-10,2.9375,313600
1992-09-11,2.875,429600
1992-09-14,2.984375,456000
1992-09-15,3.015625,392800
1992-09-16,3.015625,165600
1992-09-17,2.984375,165600
1992-09-18,2.96875,131200
1992-09-21,2.96875,124000
1992-09-22,2.921875,986400
1992-09-23,2.875,322400
1992-09-24,2.875,564000
1992-09-25,2.953125,265600
1992-09-28,2.90625,132000
1992-09-29,2.96875,252800
1992-09-30,2.953125,123200
1992-10-01,2.9375,108800
1992-10-02,3.0,185600
1992-10-05,3.0,114400
1992-10-06,3.109375,635200
1992-10-07,3.296875,699200
1992-10-08,3.28125,531200
1992-10-09,3.328125,612800
1992-10-12,3.3125,357600
1992-10-13,3.296875,636800
1992-10-14,3.390625,548800
1992-10-15,3.390625,372800
1992-10-16,3.46875,731200
1992-10-19,3.390625,156800
1992-10-20,3.46875,672800
1992-10-21,3.5625,343200
