Date,Close,Volume
1972-06-01,20.875,42000
1972-06-02,21.0,17600
1972-06-05,20.875,13200
1972-06-06,20.625,15700
1972-06-07,20.625,5000
1972-06-08,20.375,32900
1972-06-09,20.25,18500
1972-06-12,20.5,10600
1972-06-13,20.25,38400
1972-06-14,19.75,126800
1972-06-15,19.875,14100
1972-06-16,19.875,9000
1972-06-19,19.875,8500
1972-06-20,19.625,40600
1972-06-21,19.375,57000
1972-06-22,19.625,23700
1972-06-23,19.625,53000
1972-06-26,19.5,14400
1972-06-27,19.5,14200
1972-06-28,19.875,21000
1972-06-29,19.875,13300
1972-06-30,20.25,47100
1972-07-03,20.25,7300
1972-07-05,20.875,22400
1972-07-06,21.375,15300
1972-07-07,21.625,23900
1972-07-10,21.75,25600
1972-07-11,21.125,14400
1972-07-12,21.375,4800
1972-07-13,21.125,6000
1972-07-14,21.25,10600
1972-07-17,21.125,12300
1972-07-18,20.625,4400
1972-07-19,20.5,9300
1972-07-20,20.625,7500
1972-07-21,20.875,5500
1972-07-24,20.875,12600
1972-07-25,20.75,67600
1972-07-26,20.625,13800
1972-07-27,20.375,9900
1972-07-28,20.625,14300
1972-07-31,20.375,2800
1972-08-01,20.375,9000
1972-08-02,20.25,32100
1972-08-03,20.0,10700
1972-08-04,20.0,10500
1972-08-07,19.625,87100
1972-08-08,19.75,40600
1972-08-09,19.625,17100
1972-08-10,19.625,17200
1972-08-11,19.75,19600
1972-08-14,19.875,11200
1972-08-15,19.875,25100
1972-08-16,20.0,37800
1972-08-17,20.125,17500
1972-08-18,20.75,51800
1972-08-21,21.25,12800
1972-08-22,21.625,40400
1972-08-23,21.75,17600
1972-08-24,22.5,64400
1972-08-25,22.375,18500
1972-08-28,22.5,28300
1972-08-29,22.5,7700
1972-08-30,22.75,19500
1972-08-31,22.375,12100
1972-09-01,22.375,6600
1972-09-05,22.0,19800
1972-09-06,22.125,8200
1972-09-07,22.0,12700
1972-09-08,22.0,9400
1972-09-11,21.5,19600
1972-09-12,21.875,15900
1972-09-13,22.0,32500
1972-09-14,22.125,3600
1972-09-15,22.25,6400
1972-09-18,22.125,13000
1972-09-19,21.875,8100
1972-09-20,22.0,2400
1972-09-21,21.625,8600
1972-09-22,21.5,10200
1972-09-25,21.5,11800
1972-09-26,21.375,122300
1972-09-27,21.875,9600
1972-09-28,22.0,8700
1972-09-29,22.125,22700
1972-10-02,21.875,6700
1972-10-03,22.0,17800
1972-10-04,22.375,25800
1972-10-05,22.125,15500
1972-10-06,22.5,22300
1972-10-09,22.75,6900
1972-10-10,22.75,5400
1972-10-11,22.625,2900
1972-10-12,22.75,11900
1972-10-13,22.625,10200
1972-10-16,22.75,60700
1972-10-17,22.75,32600
1972-10-18,23.0,27800
1972-10-19,23.25,11400
1972-10-20,23.25,6000
1972-10-23,23.75,10300
1972-10-24,23.75,11200
1972-10-25,23.625,11800
1972-10-26,24.0,37200
1972-10-27,24.75,17700
1972-10-30,24.75,17300
1972-10-31,25.125,35000
1972-11-01,25.5,27700
1972-11-02,25.125,36700
1972-11-03,26.25,44700
1972-11-06,26.375,36000
1972-11-08,26.5,17800
1972-11-09,27.0,28800
1972-11-10,27.0,31900
1972-11-13,27.0,29900
1972-11-14,26.875,8000
1972-11-15,26.875,28500
1972-11-16,26.75,10800
1972-11-17,27.875,12100
1972-11-20,28.125,15700
1972-11-21,27.625,19000
1972-11-22,27.875,80200
1972-11-24,28.75,26900
1972-11-27,28.0,18700
1972-11-28,27.875,25700
1972-11-29,27.375,12800
1972-11-30,27.375,10100
1972-12-01,28.0,26900
1972-12-04,27.875,12100
1972-12-05,27.625,17900
1972-12-06,27.0,6600
1972-12-07,26.875,4400
1972-12-08,26.375,9700
1972-12-11,26.0,7400
1972-12-12,26.0,8100
1972-12-13,26.5,12700
1972-12-14,26.5,11100
1972-12-15,26.625,6100
1972-12-18,26.625,26600
1972-12-19,26.625,21200
1972-12-20,26.625,3500
1972-12-21,26.75,37100
1972-12-22,27.0,9200
1972-12-26,26.875,3800
1972-12-27,26.625,4100
1972-12-29,26.75,28400
1973-01-02,26.75,14400
1973-01-03,27.0,53700
1973-01-04,26.875,4800
1973-01-05,27.0,105300
1973-01-08,26.875,38700
1973-01-09,26.875,15100
1973-01-10,26.75,10700
1973-01-11,27.125,10800
1973-01-12,26.875,40300
1973-01-15,26.5,12200
1973-01-16,26.0,161100
1973-01-17,25.875,7400
1973-01-18,25.375,14200
1973-01-19,24.125,36300
1973-01-22,24.0,7100
1973-01-23,23.5,30500
1973-01-24,23.0,11200
1973-01-26,23.25,22500
1973-01-29,23.25,7500
1973-01-30,23.75,9400
1973-01-31,23.75,14900
1973-02-01,24.125,105500
1973-02-02,24.125,13500
1973-02-05,24.5,9200
1973-02-06,24.5,9100
1973-02-07,25.125,23600
1973-02-08,24.625,40300
1973-02-09,24.25,28000
1973-02-12,24.0,13200
1973-02-13,24.0,16100
1973-02-14,24.125,11600
1973-02-15,24.25,18100
1973-02-16,24.375,8700
1973-02-20,24.125,54300
1973-02-21,24.0,12100
1973-02-22,24.0,9100
1973-02-23,23.625,9900
1973-02-26,23.75,8300
1973-02-27,23.5,5100
1973-02-28,23.625,22600
1973-03-01,23.625,13400
1973-03-02,23.125,13600
1973-03-05,23.125,5400
1973-03-06,22.875,6500
1973-03-07,22.75,23800
1973-03-08,22.375,61400
1973-03-09,22.5,7800
1973-03-12,22.375,3200
1973-03-13,22.375,3000
1973-03-14,22.25,1800
1973-03-15,22.25,19400
1973-03-16,22.25,8000
1973-03-19,22.25,11000
1973-03-20,22.25,8700
1973-03-21,21.125,134400
1973-03-22,20.875,36300
1973-03-23,20.875,29400
1973-03-26,20.75,20300
1973-03-27,21.375,36400
1973-03-28,21.375,6900
1973-03-29,21.625,28100
1973-03-30,21.5,4700
1973-04-02,21.625,9300
1973-04-03,21.5,23200
1973-04-04,21.625,29700
1973-04-05,21.5,43700
1973-04-06,21.5,6800
1973-04-09,22.0,33900
1973-04-10,22.0,46600
1973-04-11,21.875,8400
1973-04-12,22.0,10700
1973-04-13,22.125,30700
1973-04-16,22.0,20500
1973-04-17,22.25,5400
1973-04-18,22.0,20500
1973-04-19,22.0,10800
1973-04-23,22.0,55200
1973-04-24,22.0,6600
1973-04-25,22.0,16700
1973-04-26,22.0,20200
1973-04-27,21.75,45900
1973-04-30,21.75,25000
1973-05-01,21.625,7300
1973-05-02,22.375,22000
1973-05-03,22.625,21400
1973-05-04,23.5,46700
1973-05-07,23.375,11500
1973-05-08,23.75,6500
1973-05-09,24.125,23400
1973-05-10,24.375,4900
1973-05-11,24.0,17500
1973-05-14,24.0,12400
1973-05-15,24.125,29400
1973-05-16,24.25,12300
1973-05-17,23.875,43100
1973-05-18,23.875,8100
1973-05-21,23.625,1700
1973-05-22,23.625,19200
1973-05-23,24.0,35300
1973-05-24,24.0,15500
1973-05-25,24.0,11900
1973-05-29,23.875,5100
1973-05-30,24.0,12800
1973-05-31,24.25,13500
1973-06-01,24.0,12500
1973-06-04,24.0,14000
1973-06-05,24.0,12000
1973-06-06,23.875,4000
1973-06-07,23.625,11400
1973-06-08,23.75,17100
1973-06-11,23.875,11000
1973-06-12,24.0,70300
1973-06-13,23.875,5600
1973-06-14,23.875,5500
1973-06-15,23.875,5800
1973-06-18,23.625,7200
1973-06-19,23.625,9900
1973-06-20,23.625,6900
1973-06-21,23.5,9600
1973-06-22,22.875,12500
1973-06-25,22.125,5800
1973-06-26,22.0,16000
1973-06-27,23.25,10500
1973-06-28,23.625,7600
1973-06-29,23.375,10300
1973-07-02,22.875,7800
1973-07-03,22.875,4800
1973-07-05,23.125,45500
1973-07-06,22.875,6600
1973-07-09,23.5,11000
1973-07-10,23.625,9800
1973-07-11,23.625,12500
1973-07-12,23.125,13900
1973-07-13,22.875,8200
1973-07-16,22.625,42700
1973-07-17,22.75,5200
1973-07-18,22.875,5000
1973-07-19,22.875,7000
1973-07-20,23.375,7100
1973-07-23,23.75,31900
1973-07-24,23.375,7500
1973-07-25,23.25,3700
1973-07-26,23.375,24200
1973-07-27,23.5,10200
1973-07-30,23.5,10200
1973-07-31,22.75,11800
1973-08-01,22.625,26300
1973-08-02,22.125,4400
1973-08-03,21.875,19700
1973-08-06,22.0,5900
1973-08-07,22.25,6600
1973-08-08,22.0,10200
1973-08-09,22.0,6700
1973-08-10,22.0,6800
1973-08-13,21.625,12300
1973-08-14,21.375,23100
1973-08-15,21.25,31800
1973-08-16,21.5,9800
1973-08-17,22.0,9600
