Date,Close,Volume
1999-04-27,14.0625,3623100
1999-04-28,14.0,815400
1999-04-29,13.75,158700
1999-04-30,13.9375,131800
1999-05-03,13.9375,165100
1999-05-04,14.0,72500
1999-05-05,14.0,19800
1999-05-06,14.0,127400
1999-05-07,14.0,16700
1999-05-10,14.125,87200
1999-05-11,14.875,36300
1999-05-12,15.0,604100
1999-05-13,14.25,38600
1999-05-14,14.5,19600
1999-05-17,14.0,77600
1999-05-18,14.125,195700
1999-05-19,14.375,100100
1999-05-20,14.125,36100
1999-05-21,14.375,6200
1999-05-24,14.0,169800
1999-05-25,14.125,204000
1999-05-26,14.046875,69100
1999-05-27,13.75,33100
1999-05-28,13.9375,26500
1999-06-01,14.25,191500
1999-06-02,14.0,57500
1999-06-03,14.0625,66300
1999-06-04,14.125,6200
1999-06-07,14.0,84900
1999-06-08,13.5,63700
1999-06-09,13.75,69500
1999-06-10,13.625,29800
1999-06-11,13.875,40500
1999-06-14,14.0,38600
1999-06-15,13.875,20700
1999-06-16,14.0,29500
1999-06-17,13.96875,34200
1999-06-18,13.9375,47800
1999-06-21,14.0,111500
1999-06-22,13.9375,9600
1999-06-23,14.125,87400
1999-06-24,15.5,65300
1999-06-25,15.875,58200
1999-06-28,16.5625,47500
1999-06-29,17.75,36000
1999-06-30,19.0,228000
1999-07-01,18.875,22100
1999-07-02,18.625,32900
1999-07-06,19.125,70700
1999-07-07,19.0,18500
1999-07-08,18.875,5700
1999-07-09,18.875,25500
1999-07-12,18.8125,14700
1999-07-13,18.625,5100
1999-07-14,18.25,2500
1999-07-15,18.0,12500
1999-07-16,18.9375,154200
1999-07-19,18.75,3600
1999-07-20,17.9375,6000
1999-07-21,18.25,1100
1999-07-22,18.0625,15000
1999-07-23,18.125,1200
1999-07-26,17.8125,1900
1999-07-27,17.125,10100
1999-07-28,16.875,180300
1999-07-29,16.5,8300
1999-07-30,17.125,11700
1999-08-02,17.25,71600
1999-08-03,16.8125,1100
1999-08-04,16.75,2100
1999-08-05,17.125,155200
1999-08-06,16.375,13100
1999-08-09,16.75,24700
1999-08-10,16.5,47400
1999-08-11,16.875,900
1999-08-12,15.5,16300
1999-08-13,16.125,17500
1999-08-16,15.875,36800
1999-08-17,16.125,10200
1999-08-18,16.125,1100
1999-08-19,16.125,300
1999-08-20,15.125,95200
1999-08-23,15.125,7300
1999-08-24,14.625,83700
1999-08-25,14.625,9100
1999-08-26,14.625,6900
1999-08-27,14.875,18300
1999-08-30,15.25,7800
1999-08-31,15.25,13000
1999-09-01,15.75,9000
1999-09-02,16.0,44300
1999-09-03,16.3125,31000
1999-09-07,16.875,5300
1999-09-08,16.0,6900
1999-09-09,16.125,20000
1999-09-10,16.0,2000
1999-09-13,16.125,1600
1999-09-14,16.125,2500
1999-09-15,16.125,40200
1999-09-16,15.875,6900
1999-09-17,16.375,21300
