Date,Close,Volume
1996-04-02,7.5625,301900
1996-04-03,7.875,50300
1996-04-04,8.625,61800
1996-04-08,8.25,38600
1996-04-09,8.25,12700
1996-04-10,8.25,46200
1996-04-11,8.125,14600
1996-04-12,7.875,31200
1996-04-15,7.875,16100
1996-04-16,7.75,50500
1996-04-17,7.5,12800
1996-04-18,7.125,5800
1996-04-19,7.25,33100
1996-04-22,7.375,21700
1996-04-23,7.25,6500
1996-04-24,7.75,16600
1996-04-25,8.125,50400
1996-04-26,8.0,12700
1996-04-29,8.25,53700
1996-04-30,10.0,99700
1996-05-01,10.0,40600
1996-05-02,9.875,46400
1996-05-03,9.875,42800
1996-05-06,9.5,17600
1996-05-07,9.25,4300
1996-05-08,8.625,10200
1996-05-09,8.0,44900
1996-05-10,8.25,17300
1996-05-13,9.0,57000
1996-05-14,9.0,3800
1996-05-15,8.875,15200
1996-05-16,8.75,4300
1996-05-17,8.5,2300
1996-05-20,8.5,20800
1996-05-21,8.75,32800
1996-05-22,8.625,77800
1996-05-23,9.375,199500
1996-05-24,9.375,266300
1996-05-28,9.5,57400
1996-05-29,9.5,132200
1996-05-30,9.5,7200
1996-05-31,10.25,32100
1996-06-03,10.5,65500
1996-06-04,10.5,7800
1996-06-05,10.0,53800
1996-06-06,10.0,10100
1996-06-07,10.0,6600
1996-06-10,10.0,12700
1996-06-11,10.5,157300
1996-06-12,10.125,108800
1996-06-13,10.625,22800
1996-06-14,10.625,1200
1996-06-17,10.125,1400
1996-06-18,10.125,2700
1996-06-19,10.125,15600
1996-06-20,9.5,13900
1996-06-21,9.5,500
1996-06-24,9.125,10700
1996-06-25,9.125,17100
1996-06-26,9.5,3200
1996-06-27,9.125,5800
1996-06-28,9.125,5600
1996-07-01,9.25,16000
1996-07-02,9.25,3900
1996-07-03,9.625,600
1996-07-05,9.25,3000
1996-07-08,9.25,5200
1996-07-09,9.125,3700
1996-07-10,9.125,9900
1996-07-11,8.75,6300
1996-07-12,8.375,7800
1996-07-15,8.25,2700
1996-07-16,8.25,10300
1996-07-17,8.0,6000
1996-07-18,8.5,22100
1996-07-19,8.125,700
1996-07-22,8.0,24400
1996-07-23,8.25,16800
1996-07-24,8.0,7800
1996-07-25,8.0,2900
1996-07-26,8.375,1800
1996-07-29,8.0,200
1996-07-30,8.0,1500
1996-07-31,8.0,9400
1996-08-01,8.375,10400
1996-08-02,8.0,1900
1996-08-05,8.0,1200
1996-08-06,8.0,2200
1996-08-07,7.625,11500
1996-08-08,7.875,20200
1996-08-09,7.875,800
1996-08-12,7.875,34500
1996-08-13,7.875,800
1996-08-14,7.625,1400
1996-08-15,7.25,23500
1996-08-16,7.25,800
1996-08-19,7.625,600
1996-08-20,7.625,12200
1996-08-21,7.5,40700
1996-08-22,7.25,1500
1996-08-23,7.25,2400
1996-08-26,7.25,1300
1996-08-27,7.25,27300
1996-08-28,7.5,97600
1996-08-29,7.625,700
1996-08-30,8.375,110600
1996-09-03,8.125,63300
1996-09-04,8.75,24800
1996-09-05,8.25,2200
1996-09-06,8.875,16100
1996-09-09,10.0,95400
1996-09-10,9.75,4100
1996-09-11,10.5,45200
1996-09-12,10.5,26600
1996-09-13,10.5,95100
1996-09-16,10.625,315600
1996-09-17,10.5,75300
1996-09-18,10.25,186700
1996-09-19,10.25,3600
1996-09-20,10.25,3500
1996-09-23,10.25,5800
1996-09-24,10.25,73100
1996-09-25,10.625,900
1996-09-26,10.625,25300
1996-09-27,10.75,31900
1996-09-30,10.0,1200
1996-10-01,9.25,17800
1996-10-02,9.625,2700
1996-10-03,8.375,27000
1996-10-04,8.375,1100
1996-10-07,8.125,29500
1996-10-08,7.875,27100
1996-10-09,7.875,10000
1996-10-10,8.25,12400
1996-10-11,7.875,12300
1996-10-14,7.625,3300
1996-10-15,7.625,0
1996-10-16,8.375,600
1996-10-17,8.0,600
1996-10-18,7.625,1700
1996-10-21,7.625,6200
1996-10-22,8.0,1700
1996-10-23,7.875,1300
