Date,Close,Volume
1993-10-22,9.125,93000
1993-10-25,10.875,85500
1993-10-26,9.375,91100
1993-10-27,9.875,76600
1993-10-28,9.75,27700
1993-10-29,9.75,47500
1993-11-01,9.75,56800
1993-11-02,9.5,35500
1993-11-03,9.75,33800
1993-11-04,9.5,51100
1993-11-05,9.625,36900
1993-11-08,9.5,30800
1993-11-09,9.25,31200
1993-11-10,9.625,28500
1993-11-11,9.5,12800
1993-11-12,9.625,26200
1993-11-15,9.75,26300
1993-11-16,9.875,50600
1993-11-17,10.0,41300
1993-11-18,10.25,47600
1993-11-19,10.125,28500
1993-11-22,9.875,27400
1993-11-23,9.75,31400
1993-11-24,9.75,11100
1993-11-26,9.875,3000
1993-11-29,9.875,18800
1993-11-30,9.875,28200
1993-12-01,10.0,22500
1993-12-02,9.875,34700
1993-12-03,9.75,20500
1993-12-06,9.625,23200
1993-12-07,9.875,27500
1993-12-08,9.875,33100
1993-12-09,10.0,46700
1993-12-10,9.875,23800
1993-12-13,10.0,37100
1993-12-14,10.25,29100
1993-12-15,10.875,43700
1993-12-16,10.625,20400
1993-12-17,10.375,22400
1993-12-20,10.25,17700
1993-12-21,10.5,10000
1993-12-22,10.375,10400
1993-12-23,10.125,17700
1993-12-27,10.125,9000
1993-12-28,10.25,7900
1993-12-29,10.0,14600
1993-12-30,10.0,6700
1993-12-31,10.125,15400
1994-01-03,10.625,19000
1994-01-04,10.625,7000
1994-01-05,10.75,15400
1994-01-06,10.75,50700
1994-01-07,11.0,24800
1994-01-10,10.25,11300
1994-01-11,10.375,13300
1994-01-12,10.875,16900
1994-01-13,10.375,17400
1994-01-14,10.625,24900
1994-01-17,10.875,12900
1994-01-18,10.625,9600
1994-01-19,10.625,13700
1994-01-20,10.25,14000
1994-01-21,10.125,18300
1994-01-24,10.125,14800
1994-01-25,10.125,9900
1994-01-26,10.125,21700
1994-01-27,10.125,15300
1994-01-28,9.875,13700
1994-01-31,10.375,20600
1994-02-01,10.25,9500
1994-02-02,10.125,14300
1994-02-03,10.125,4800
1994-02-04,10.125,14000
1994-02-07,10.125,11300
1994-02-08,10.0,10000
1994-02-09,10.125,6900
1994-02-10,10.25,7700
1994-02-11,10.125,6800
1994-02-14,10.375,9800
1994-02-15,10.0,12600
1994-02-16,10.375,7900
1994-02-17,10.125,20500
1994-02-18,10.0,6400
1994-02-22,10.0,7000
1994-02-23,9.875,9600
1994-02-24,9.75,11000
1994-02-25,9.875,6200
1994-02-28,10.375,9200
1994-03-01,10.375,6600
1994-03-02,10.5,7700
1994-03-03,10.25,6700
1994-03-04,10.0,3900
1994-03-07,10.125,13400
1994-03-08,10.125,9900
1994-03-09,10.125,11800
1994-03-10,10.25,10000
1994-03-11,10.25,3100
1994-03-14,10.25,7500
1994-03-15,10.375,18500
1994-03-16,10.375,7900
1994-03-17,10.125,7900
1994-03-18,10.25,13300
1994-03-21,10.125,6700
1994-03-22,10.25,9400
1994-03-23,10.125,10100
1994-03-24,9.75,9900
1994-03-25,10.0,16800
1994-03-28,9.75,5800
1994-03-29,10.0,3900
1994-03-30,9.875,1100
1994-03-31,10.0,15900
1994-04-04,9.875,9000
1994-04-05,10.0,3700
1994-04-06,9.875,5200
1994-04-07,9.875,7000
1994-04-08,10.0,8200
1994-04-11,9.875,9800
1994-04-12,9.75,4400
1994-04-13,10.0,10700
1994-04-14,10.0,13300
1994-04-15,10.0,6000
1994-04-18,10.125,7800
1994-04-19,10.0,17100
1994-04-20,9.75,16700
1994-04-21,10.0,15700
1994-04-22,9.875,7300
1994-04-25,9.875,3600
1994-04-26,9.625,2200
1994-04-28,9.625,3300
1994-04-29,9.625,17100
1994-05-02,9.5,13700
1994-05-03,9.875,18900
1994-05-04,9.75,12200
1994-05-05,9.625,14500
1994-05-06,9.5,11200
1994-05-09,9.375,6600
1994-05-10,9.375,3300
1994-05-11,9.5,5100
1994-05-12,9.125,33500
1994-05-13,9.125,10800
1994-05-16,9.375,6800
1994-05-17,9.25,8900
1994-05-18,9.5,8900
1994-05-19,9.625,5400
1994-05-20,9.75,7900
1994-05-23,9.5,4200
1994-05-24,9.625,7900
1994-05-25,9.5,12000
1994-05-26,9.625,2200
1994-05-27,9.625,8900
1994-05-31,9.5,5300
1994-06-01,9.5,7800
1994-06-02,9.5,7100
1994-06-03,9.5,10200
1994-06-06,9.5,2000
1994-06-07,9.5,3200
1994-06-08,9.5,12100
1994-06-09,9.375,8600
1994-06-10,9.5,4600
1994-06-13,9.375,3900
1994-06-14,9.375,7000
1994-06-15,9.5,6100
1994-06-16,9.5,5000
1994-06-17,9.5,5700
1994-06-20,9.5,7600
1994-06-21,9.25,12500
1994-06-22,9.5,56700
1994-06-23,9.75,25600
1994-06-24,9.375,9900
1994-06-27,9.5,7100
1994-06-28,9.25,7600
1994-06-29,9.125,6800
1994-06-30,9.375,12100
1994-07-01,9.375,6600
1994-07-05,9.5,4600
1994-07-06,9.5,2400
1994-07-07,9.75,6600
1994-07-08,9.75,4000
1994-07-11,9.375,4900
1994-07-12,9.75,5800
1994-07-13,9.625,10000
1994-07-14,9.625,10500
1994-07-15,9.625,7900
1994-07-18,9.5,6800
1994-07-19,9.5,8400
1994-07-20,9.625,6400
1994-07-21,9.75,4500
1994-07-22,9.75,9200
1994-07-25,9.25,4600
1994-07-26,9.125,14200
1994-07-27,9.5,15900
1994-07-28,9.5,4300
1994-07-29,9.75,3300
1994-08-01,9.375,15400
1994-08-02,9.25,8100
1994-08-03,9.25,12000
1994-08-04,9.25,13600
1994-08-05,9.125,10000
1994-08-08,9.125,5500
1994-08-09,9.125,5200
1994-08-10,9.125,9400
1994-08-11,9.125,4200
1994-08-12,9.125,4800
1994-08-15,9.0,4700
1994-08-16,9.25,2900
1994-08-17,9.125,13800
1994-08-18,9.0,11900
1994-08-19,9.0,3700
1994-08-22,9.0,10800
1994-08-23,9.125,3900
1994-08-24,9.0,54200
1994-08-25,8.875,11500
1994-08-26,9.0,13800
1994-08-29,8.875,23200
1994-08-30,8.75,9500
1994-08-31,9.0,31700
1994-09-01,8.875,7500
1994-09-02,9.125,4700
1994-09-06,9.0,2700
1994-09-07,9.375,15600
1994-09-08,9.25,12800
1994-09-09,9.375,13700
1994-09-12,9.125,17300
1994-09-13,9.125,15500
1994-09-14,9.25,5700
1994-09-15,9.25,13000
1994-09-16,9.25,2800
1994-09-19,9.25,3200
1994-09-20,9.375,12500
1994-09-21,9.25,5500
1994-09-22,9.375,5600
1994-09-23,9.25,5600
1994-09-26,9.5,7200
1994-09-27,9.25,10300
1994-09-28,9.375,3800
1994-09-29,9.25,13400
1994-09-30,9.25,1200
1994-10-03,9.0,5500
