Date,Close,Volume
1992-10-21,16.0,30000
1992-10-22,15.0,1900
1992-10-23,16.0,300
1992-10-26,16.0,100
1992-10-27,14.5,1500
1992-10-28,15.5,0
1992-10-29,15.0,500
1992-10-30,14.0,63800
1992-11-02,15.5,1100
1992-11-03,16.0,98500
1992-11-04,17.0,64400
1992-11-05,18.5,49100
1992-11-06,18.5,138400
1992-11-09,18.0,34000
1992-11-10,18.0,10000
1992-11-11,18.0,15900
1992-11-12,18.0,2700
1992-11-13,18.0,9900
1992-11-16,17.5,13100
1992-11-17,17.5,1400
1992-11-18,17.0,1600
1992-11-19,16.0,5800
1992-11-20,16.5,8600
1992-11-23,16.5,800
1992-11-24,16.0,2000
1992-11-25,16.0,200
1992-11-27,16.0,200
1992-11-30,16.0,5200
1992-12-01,16.0,400
1992-12-02,16.0,5500
1992-12-03,15.5,2200
1992-12-04,18.0,21300
1992-12-07,18.0,6800
1992-12-08,17.0,8200
1992-12-09,17.5,2800
1992-12-10,17.5,2100
1992-12-11,16.5,1100
1992-12-14,15.0,3800
1992-12-15,15.5,6300
1992-12-16,15.5,1100
1992-12-17,15.5,700
1992-12-18,15.0,1000
1992-12-21,14.5,12700
1992-12-22,16.0,22300
1992-12-23,17.0,10100
1992-12-24,16.5,300
1992-12-28,16.0,600
1992-12-29,15.5,3800
1992-12-30,17.0,9800
1992-12-31,17.0,2000
1993-01-04,16.5,4800
1993-01-05,17.0,14600
1993-01-06,21.0,22900
1993-01-07,23.0,71700
1993-01-08,23.0,34100
1993-01-11,23.5,4200
1993-01-12,22.5,34500
1993-01-13,22.5,30100
1993-01-14,23.5,14800
1993-01-15,23.0,9200
1993-01-18,20.5,8500
1993-01-19,21.5,7200
1993-01-20,21.5,2100
1993-01-21,22.0,51100
1993-01-22,22.5,23000
1993-01-25,21.5,6400
1993-01-26,20.0,6700
1993-01-27,20.0,2800
1993-01-28,20.0,2400
1993-01-29,18.5,8300
1993-02-01,19.5,2000
1993-02-02,17.5,7000
1993-02-03,18.5,8100
1993-02-04,19.5,3300
1993-02-05,19.0,9700
1993-02-08,19.0,3200
1993-02-09,19.0,4100
1993-02-10,18.875,7100
1993-02-11,19.0,3600
1993-02-12,18.0,11600
1993-02-16,18.0,5500
1993-02-17,19.0,6700
1993-02-18,19.0,15900
1993-02-19,18.75,9700
1993-02-22,19.0,9300
1993-02-23,18.5,10500
1993-02-24,18.0,18700
1993-02-25,17.0,21400
1993-02-26,19.5,80800
1993-03-01,19.5,4100
1993-03-02,19.5,4000
1993-03-03,19.5,1800
1993-03-04,20.0,16400
1993-03-05,20.0,12700
1993-03-08,19.0,7000
1993-03-09,19.5,19200
1993-03-10,19.5,3500
1993-03-11,19.5,22400
1993-03-12,19.5,5000
1993-03-15,18.5,4300
1993-03-16,19.5,1400
1993-03-17,18.5,1700
1993-03-18,20.0,1600
1993-03-19,20.0,4400
1993-03-22,19.5,4000
1993-03-23,19.0,3900
1993-03-24,20.0,6800
1993-03-25,19.5,3400
1993-03-26,19.5,1400
1993-03-29,18.0,3000
1993-03-30,18.0,2600
1993-03-31,18.0,6100
1993-04-01,18.0,7700
1993-04-02,16.5,1500
1993-04-05,17.0,1700
1993-04-06,18.0,14300
1993-04-07,18.0,4600
1993-04-08,17.0,11500
1993-04-12,17.5,800
1993-04-13,17.0,6200
1993-04-14,16.5,4600
1993-04-15,17.5,900
1993-04-16,17.5,3100
1993-04-19,17.5,2600
1993-04-20,17.25,2900
1993-04-21,16.0,4600
1993-04-22,17.5,2100
1993-04-23,17.5,14800
1993-04-26,17.5,300
1993-04-27,17.0,4000
1993-04-28,16.5,5800
1993-04-29,15.5,1400
1993-04-30,16.0,2200
1993-05-03,15.5,3000
1993-05-04,16.0,9700
1993-05-05,15.25,9800
1993-05-06,14.375,36800
1993-05-07,16.0,9800
1993-05-10,15.0,5300
1993-05-11,15.5,5600
1993-05-12,14.0,8400
1993-05-13,15.0,1800
1993-05-14,15.5,8200
1993-05-17,17.5,20600
1993-05-18,18.0,11200
1993-05-19,18.5,11700
1993-05-20,18.5,7500
1993-05-21,18.5,10000
1993-05-24,18.0,2300
1993-05-25,18.5,3400
1993-05-26,18.5,800
1993-05-27,18.5,4100
1993-05-28,17.75,1100
1993-06-01,17.5,2400
1993-06-02,17.0,3400
1993-06-03,17.5,400
1993-06-04,18.0,3500
1993-06-07,18.0,1600
1993-06-08,16.0,1200
1993-06-09,17.5,2400
1993-06-10,18.0,1000
1993-06-11,17.0,1000
1993-06-14,18.0,2200
1993-06-15,17.5,3900
1993-06-16,18.0,11700
1993-06-17,17.0,4700
1993-06-18,16.0,2500
1993-06-21,16.0,2200
1993-06-22,16.0,3800
1993-06-23,15.5,6900
1993-06-24,16.5,100
1993-06-25,16.5,0
1993-06-28,15.5,900
1993-06-29,16.0,100
1993-06-30,15.5,8300
1993-07-01,16.0,5700
1993-07-02,16.5,3100
1993-07-06,15.5,0
1993-07-07,16.5,2500
1993-07-08,16.5,2700
1993-07-09,16.5,1200
1993-07-12,16.0,1100
1993-07-13,16.5,8500
1993-07-14,16.0,3300
1993-07-15,16.0,4300
1993-07-16,16.0,1200
1993-07-19,16.0,1100
1993-07-20,15.0,6800
1993-07-21,15.0,2200
1993-07-22,12.0,2400
1993-07-23,15.0,4400
1993-07-26,14.0,5700
1993-07-27,14.0,1000
1993-07-28,14.0,3400
1993-07-29,14.0,1500
1993-07-30,13.5,1900
1993-08-02,15.0,500
1993-08-03,14.5,2700
1993-08-04,13.5,600
1993-08-05,13.5,700
1993-08-06,13.5,4800
1993-08-09,11.5,7400
1993-08-10,12.5,9900
1993-08-11,12.5,40200
1993-08-12,13.5,18500
1993-08-13,14.5,3700
1993-08-16,13.5,2000
1993-08-17,14.0,3400
1993-08-18,14.0,5300
1993-08-19,13.5,4100
1993-08-20,13.5,1800
1993-08-23,13.5,1300
1993-08-24,15.0,6600
1993-08-25,14.75,2900
1993-08-26,16.0,2000
1993-08-27,16.0,3100
1993-08-30,15.5,10100
1993-08-31,16.5,5800
1993-09-01,16.5,2500
1993-09-02,14.5,13900
1993-09-03,14.0,2600
1993-09-07,14.5,3400
1993-09-08,13.5,4300
1993-09-09,13.5,8800
1993-09-10,13.5,100
1993-09-13,13.5,1700
1993-09-14,13.5,1600
