Date,Close,Volume
1986-12-16,13.75,701000
1986-12-17,15.875,417600
1986-12-18,18.75,637100
1986-12-19,17.75,289500
1986-12-22,18.0,71000
1986-12-23,18.125,69800
1986-12-24,17.875,55900
1986-12-26,18.125,32700
1986-12-29,18.125,40200
1986-12-30,18.75,81400
1986-12-31,19.0,30500
1987-01-02,19.125,48000
1987-01-05,18.75,57300
1987-01-06,18.5,70800
1987-01-07,18.5,50200
1987-01-08,18.25,33400
1987-01-09,18.625,59000
1987-01-12,18.25,32300
1987-01-13,17.625,52500
1987-01-14,18.875,112300
1987-01-15,18.75,52500
1987-01-16,18.875,37200
1987-01-19,18.875,11300
1987-01-20,18.75,25800
1987-01-21,17.75,52300
1987-01-22,18.5,32500
1987-01-23,18.375,37500
1987-01-26,18.875,44200
1987-01-27,19.0,48900
1987-01-28,19.125,36400
1987-01-29,19.125,38400
1987-01-30,19.125,26300
1987-02-02,19.375,37900
1987-02-03,19.625,35300
1987-02-04,23.125,167000
1987-02-05,25.75,325700
1987-02-06,28.25,296800
1987-02-09,29.125,245100
1987-02-10,26.625,241300
1987-02-11,27.125,105700
1987-02-12,29.0,158300
1987-02-13,28.625,127500
1987-02-17,31.75,179000
1987-02-18,32.75,161300
1987-02-19,36.25,190100
1987-02-20,39.25,225500
1987-02-23,34.75,282700
1987-02-24,31.25,323600
1987-02-25,32.5,415400
1987-02-26,34.0,204300
1987-02-27,33.125,104000
1987-03-02,30.75,89600
1987-03-03,31.75,72300
1987-03-04,33.0,54700
1987-03-05,33.5,142500
1987-03-06,32.625,27900
1987-03-09,32.25,37500
1987-03-10,33.125,55500
1987-03-11,32.25,36700
1987-03-12,30.75,41400
1987-03-13,30.875,33100
1987-03-16,32.25,45200
1987-03-17,31.625,57200
1987-03-18,32.25,55800
1987-03-19,32.875,24800
1987-03-20,33.25,52400
1987-03-23,33.5,30300
1987-03-24,34.125,57400
1987-03-25,33.875,31800
1987-03-26,32.5,28800
1987-03-27,33.125,45000
1987-03-30,32.875,36400
1987-03-31,31.5,25900
1987-04-01,31.25,70100
1987-04-02,32.125,47500
1987-04-03,32.25,30300
1987-04-06,34.5,58300
1987-04-07,33.25,74500
1987-04-08,33.25,38200
1987-04-09,33.125,14900
1987-04-10,32.875,14400
1987-04-13,32.25,16400
1987-04-14,31.375,49300
1987-04-15,32.0,23900
1987-04-16,33.125,14000
1987-04-20,33.25,18500
1987-04-21,34.25,36900
1987-04-22,33.375,18200
1987-04-23,33.375,15700
1987-04-24,33.75,35500
1987-04-27,33.25,25800
1987-04-28,34.125,41200
1987-04-29,33.875,13400
1987-04-30,33.25,22700
1987-05-01,32.5,6400
1987-05-04,32.0,6900
1987-05-05,32.5,6000
1987-05-06,32.75,5900
1987-05-07,32.625,12500
1987-05-08,32.625,7400
1987-05-11,32.25,12900
1987-05-12,32.375,7900
1987-05-13,32.75,4700
1987-05-14,32.375,10000
1987-05-15,32.625,7500
1987-05-18,31.875,15900
1987-05-19,31.25,7900
1987-05-20,31.25,20500
1987-05-21,31.5,11900
1987-05-22,31.5,6200
1987-05-26,31.75,10800
1987-05-27,31.5,13600
1987-05-28,31.5,5900
1987-05-29,31.25,6900
1987-06-01,31.625,7700
1987-06-02,31.5,8200
1987-06-03,31.375,21100
1987-06-04,31.375,3800
1987-06-05,31.375,9300
1987-06-08,31.375,18200
1987-06-09,33.0,35400
1987-06-10,33.125,18800
1987-06-11,32.625,17700
1987-06-12,33.625,20700
1987-06-15,33.5,16100
1987-06-16,32.75,23200
1987-06-17,32.0,7800
1987-06-18,32.125,2300
1987-06-19,32.125,7700
1987-06-22,32.5,7700
1987-06-23,32.125,30000
1987-06-24,31.875,6800
1987-06-25,31.75,3400
1987-06-26,31.5,4600
1987-06-29,32.0,5300
1987-06-30,32.25,6500
1987-07-01,31.875,13900
1987-07-02,31.75,21500
1987-07-06,32.25,4400
1987-07-07,32.75,19900
1987-07-08,32.625,10200
1987-07-09,32.5,14000
1987-07-10,31.5,25200
1987-07-13,31.625,6200
1987-07-14,32.75,17600
1987-07-15,36.5,110400
1987-07-16,43.75,191700
1987-07-17,49.0,299500
1987-07-20,43.0,173700
1987-07-21,47.0,167500
1987-07-22,45.875,72700
1987-07-23,44.375,53800
1987-07-24,44.75,21500
1987-07-27,45.0,25800
1987-07-28,45.875,20700
1987-07-29,45.875,17800
1987-07-30,45.25,37700
1987-07-31,44.0,26400
1987-08-03,42.75,27600
1987-08-04,44.75,27700
1987-08-05,43.75,14400
1987-08-06,44.5,13700
1987-08-07,44.5,13300
1987-08-10,44.5,22400
1987-08-11,44.5,14400
1987-08-12,44.5,11400
1987-08-13,46.125,43700
1987-08-14,43.25,49100
1987-08-17,44.25,9300
1987-08-18,43.25,27300
1987-08-19,43.5,10800
1987-08-20,46.0,24600
1987-08-21,46.0,60000
1987-08-24,46.5,11900
1987-08-25,46.0,34500
1987-08-26,46.0,1400
1987-08-27,45.375,17900
1987-08-28,46.5,31000
1987-08-31,51.5,69700
1987-09-01,53.0,102900
1987-09-02,51.75,57800
1987-09-03,52.25,39100
1987-09-04,52.75,54400
1987-09-08,50.0,48600
1987-09-09,50.5,43200
1987-09-10,53.375,35100
1987-09-11,51.125,50500
1987-09-14,51.75,13700
1987-09-15,53.125,13100
1987-09-16,51.625,11800
1987-09-17,51.125,33000
1987-09-18,51.5,11100
1987-09-21,51.0,19500
1987-09-22,51.0,24000
1987-09-23,51.5,4700
1987-09-24,50.5,39200
1987-09-25,53.0,46100
1987-09-28,55.625,74200
1987-09-29,51.5,70600
1987-09-30,51.75,20600
1987-10-01,51.625,35900
1987-10-02,52.0,13000
1987-10-05,49.875,64700
1987-10-06,50.375,16300
1987-10-07,49.875,5100
1987-10-08,48.5,20700
1987-10-09,46.375,22800
1987-10-12,47.0,44300
1987-10-13,49.5,18200
1987-10-14,48.0,16500
1987-10-15,46.125,24800
1987-10-16,43.875,60400
1987-10-19,33.0,72800
1987-10-20,33.0,0
1987-10-21,35.25,114800
1987-10-22,32.125,59100
1987-10-23,30.875,34700
1987-10-26,30.875,0
1987-10-27,25.5,37000
1987-10-28,22.5,66900
1987-10-29,25.875,42500
1987-10-30,35.5,72400
1987-11-02,31.5,54400
1987-11-03,29.875,20400
1987-11-04,28.625,31700
1987-11-05,29.25,18500
1987-11-06,29.0,8300
1987-11-09,27.5,8700
1987-11-10,26.75,20500
1987-11-11,26.5,7900
1987-11-12,28.5,27700
1987-11-13,28.125,17500
1987-11-16,28.875,16700
1987-11-17,29.5,18000
1987-11-18,30.625,10300
1987-11-19,30.25,8500
1987-11-20,29.0,12700
1987-11-23,28.5,15800
1987-11-24,28.5,34300
1987-11-25,28.75,12000
1987-11-27,28.0,6600
1987-11-30,26.0,12100
1987-12-01,26.625,18200
1987-12-02,26.625,3700
1987-12-03,25.25,12300
1987-12-04,23.75,26400
1987-12-07,23.625,38800
1987-12-08,28.5,33300
1987-12-09,29.5,47500
1987-12-10,27.5,23800
1987-12-11,26.75,8700
1987-12-14,28.5,9700
1987-12-15,28.0,7400
1987-12-16,30.5,34700
1987-12-17,29.75,28300
1987-12-18,30.875,33600
1987-12-21,33.25,52300
1987-12-22,32.875,15500
1987-12-23,33.5,27300
1987-12-24,32.25,11000
1987-12-28,31.5,35500
1987-12-29,31.5,18400
1987-12-30,32.0,8700
