Date,Close,Volume
1999-04-19,31.5,100
1999-04-20,30.75,100
1999-04-21,30.75,400
1999-04-22,31.3125,2100
1999-04-23,30.28125,600
1999-04-26,29.25,700
1999-04-27,30.0,600
1999-04-28,30.0,200
1999-04-29,30.0,1200
1999-04-30,28.875,2100
1999-05-03,30.75,1700
1999-05-04,30.75,800
1999-05-05,29.25,400
1999-05-06,29.25,1100
1999-05-07,30.0,700
1999-05-10,28.875,400
1999-05-11,28.875,300
1999-05-12,28.875,200
1999-05-13,30.0,200
1999-05-14,30.0,1600
1999-05-17,29.625,600
1999-05-18,28.875,500
1999-05-19,28.6875,100
1999-05-20,30.0,100
1999-05-21,29.25,1500
1999-05-24,29.25,0
1999-05-25,27.375,0
1999-05-26,27.75,1000
1999-05-27,27.75,0
1999-05-28,27.0,500
1999-06-01,28.5,400
1999-06-02,27.0,3100
1999-06-03,26.25,0
1999-06-04,26.25,2900
1999-06-07,26.25,700
1999-06-08,28.5,300
1999-06-09,28.5,100
1999-06-10,27.75,800
1999-06-11,27.0,1600
1999-06-14,24.75,0
1999-06-15,25.5,4700
1999-06-16,25.5,0
1999-06-17,25.3125,500
1999-06-18,24.0,200
1999-06-21,24.0,0
1999-06-22,22.5,400
1999-06-23,23.25,400
1999-06-24,22.5,500
1999-06-25,22.5,200
1999-06-28,20.625,400
1999-06-29,21.375,200
1999-06-30,21.0,800
1999-07-01,21.0,600
1999-07-02,21.0,0
1999-07-06,19.59375,1400
1999-07-07,20.0625,2700
1999-07-08,20.0625,0
1999-07-09,18.375,0
1999-07-12,19.5,1900
1999-07-13,18.75,2400
1999-07-14,24.0,5300
1999-07-15,25.5,12000
1999-07-16,24.0,1000
1999-07-19,21.0,1300
1999-07-20,22.125,900
1999-07-21,19.5,300
1999-07-22,19.5,0
1999-07-23,19.875,300
1999-07-26,18.75,1000
1999-07-27,18.75,1100
1999-07-28,19.5,400
1999-07-29,19.5,600
1999-07-30,18.75,2900
1999-08-02,18.75,0
1999-08-03,18.75,5500
1999-08-04,16.875,1300
1999-08-05,16.125,100
1999-08-06,15.0,500
1999-08-09,15.0,0
1999-08-10,15.75,100
1999-08-11,15.0,0
1999-08-12,12.0,200
1999-08-13,13.5,100
1999-08-16,12.0,200
1999-08-17,15.75,100
1999-08-18,16.5,300
1999-08-19,13.875,4500
1999-08-20,14.25,400
1999-08-23,14.25,200
1999-08-24,14.25,0
1999-08-25,12.0,0
1999-08-26,12.0,100
1999-08-27,12.0,0
1999-08-30,12.0,2500
1999-08-31,12.0,800
1999-09-01,13.5,200
1999-09-02,13.5,100
1999-09-03,13.5,0
1999-09-07,13.5,0
1999-09-08,14.25,300
1999-09-09,13.875,0
1999-09-10,13.875,200
1999-09-13,14.25,300
1999-09-14,14.25,0
1999-09-15,22.5,1800
1999-09-16,22.5,7600
1999-09-17,22.875,200
1999-09-20,23.625,500
1999-09-21,21.75,2500
1999-09-22,23.25,8600
1999-09-23,20.625,0
1999-09-24,15.0,3400
1999-09-27,18.0,500
1999-09-28,16.5,800
1999-09-29,15.0,2000
1999-09-30,16.5,0
1999-10-01,16.5,0
1999-10-04,13.5,1600
1999-10-05,12.5625,4700
1999-10-06,12.9375,700
1999-10-07,13.3125,100
1999-10-08,14.625,200
1999-10-11,13.3125,400
1999-10-12,13.5,1700
1999-10-13,13.5,1900
1999-10-14,12.0,1000
1999-10-15,12.0,0
1999-10-18,12.0,100
1999-10-19,12.0,0
1999-10-20,13.5,0
