Date,Close,Volume
1995-10-11,12.0,5690400
1995-10-12,12.125,2014200
1995-10-13,12.125,413000
1995-10-16,12.0,376800
1995-10-17,12.125,361200
1995-10-18,12.125,232000
1995-10-19,12.0625,827800
1995-10-20,12.0,218400
1995-10-23,12.125,1179800
1995-10-24,12.4375,378400
1995-10-25,12.75,398200
1995-10-26,12.5,169400
1995-10-27,12.1875,1240600
1995-10-30,12.3125,123400
1995-10-31,12.4375,134000
1995-11-01,12.75,186200
1995-11-02,12.8125,96400
1995-11-03,12.875,224600
1995-11-06,13.6875,275200
1995-11-07,13.5,304800
1995-11-08,13.5,171000
1995-11-09,13.5625,161800
1995-11-10,13.5,155000
1995-11-13,13.375,9800
1995-11-14,13.0,187600
1995-11-15,12.9375,59000
1995-11-16,13.0625,583000
1995-11-17,13.0,24400
1995-11-20,13.0625,32000
1995-11-21,13.125,223800
1995-11-22,13.375,20800
1995-11-24,13.375,13400
1995-11-27,13.5,23600
1995-11-28,13.5625,130800
1995-11-29,14.0,90400
1995-11-30,14.4375,77400
1995-12-01,14.375,97200
1995-12-04,14.625,391000
1995-12-05,14.6875,254200
1995-12-06,14.6875,132800
1995-12-07,14.4375,204600
1995-12-08,15.25,1719400
1995-12-11,15.8125,962400
1995-12-12,16.0,712400
1995-12-13,16.875,725800
1995-12-14,16.75,1265400
1995-12-15,17.0,307600
1995-12-18,16.8125,193000
1995-12-19,16.625,120400
1995-12-20,16.5625,255600
1995-12-21,16.75,1111000
1995-12-22,16.4375,117800
1995-12-26,16.5,528800
1995-12-27,16.625,199600
1995-12-28,16.75,281800
1995-12-29,16.875,92800
1996-01-02,16.8125,381000
1996-01-03,16.9375,463600
1996-01-04,16.6875,191200
1996-01-05,16.875,335400
1996-01-08,16.6875,17600
1996-01-09,16.9375,383000
1996-01-10,17.25,1140800
1996-01-11,17.3125,805600
1996-01-12,17.4375,267600
1996-01-15,17.0,442800
1996-01-16,17.1875,203600
1996-01-17,17.375,105200
1996-01-18,17.25,18800
1996-01-19,17.125,59600
1996-01-22,17.125,11200
1996-01-23,16.9375,254800
1996-01-24,17.8125,140400
1996-01-25,17.625,50400
1996-01-26,17.625,79600
1996-01-29,18.75,224600
1996-01-30,19.1875,404000
1996-01-31,19.0625,275000
1996-02-01,19.4375,140800
1996-02-02,20.0,363200
1996-02-05,19.75,679200
1996-02-06,19.125,428000
1996-02-07,18.625,126200
1996-02-08,18.5,482600
1996-02-09,18.5625,136000
1996-02-12,18.8125,130000
1996-02-13,18.75,53600
1996-02-14,18.625,85000
1996-02-15,18.9375,83400
1996-02-16,19.0625,35000
1996-02-20,19.0625,48200
1996-02-21,18.9375,196800
1996-02-22,19.0625,286800
1996-02-23,18.9375,158600
1996-02-26,18.625,142600
1996-02-27,18.25,83000
1996-02-28,17.6875,60800
1996-02-29,18.3125,483400
1996-03-01,19.0,211400
1996-03-04,19.25,89200
1996-03-05,19.3125,80800
1996-03-06,19.75,190000
1996-03-07,20.4375,286200
1996-03-08,20.5,161200
1996-03-11,20.75,453400
1996-03-12,20.875,86800
1996-03-13,21.1875,668600
1996-03-14,21.1875,474600
1996-03-15,20.6875,118200
1996-03-18,20.6875,106200
1996-03-19,20.5,117000
1996-03-20,21.0625,296400
1996-03-21,21.5625,216400
1996-03-22,21.6875,87400
1996-03-25,21.625,163600
1996-03-26,21.5625,131200
1996-03-27,21.5,626800
1996-03-28,21.5625,175200
1996-03-29,21.4375,70400
1996-04-01,21.75,123200
1996-04-02,22.125,280200
1996-04-03,22.6875,375200
1996-04-04,24.5,570800
1996-04-08,24.125,559400
1996-04-09,24.5625,696200
1996-04-10,25.125,505000
1996-04-11,25.25,206000
1996-04-12,24.875,89400
1996-04-15,24.75,340400
1996-04-16,25.4375,294800
1996-04-17,25.1875,160600
1996-04-18,25.0625,113200
1996-04-19,25.0,124000
1996-04-22,25.4375,793600
1996-04-23,25.375,118200
1996-04-24,25.75,212000
1996-04-25,25.8125,154200
1996-04-26,26.3125,152200
1996-04-29,25.75,84600
1996-04-30,24.875,164600
1996-05-01,24.0,144600
1996-05-02,23.6875,208200
1996-05-03,22.625,210600
1996-05-06,22.125,379000
1996-05-07,22.3125,304400
1996-05-08,22.1875,339400
1996-05-09,23.125,854200
1996-05-10,24.25,1075800
1996-05-13,24.4375,297800
1996-05-14,24.5,166400
1996-05-15,24.75,242600
1996-05-16,24.5625,173400
1996-05-17,24.1875,327200
1996-05-20,24.6875,280200
1996-05-21,24.625,5376800
1996-05-22,24.375,2631600
1996-05-23,24.25,1509000
1996-05-24,24.5,743000
1996-05-28,24.25,566200
1996-05-29,23.6875,839800
1996-05-30,24.125,463800
1996-05-31,23.9375,502800
1996-06-03,24.125,290200
1996-06-04,24.4375,295400
1996-06-05,24.375,154400
1996-06-06,24.6875,1177800
1996-06-07,24.5,396000
1996-06-10,24.75,370600
1996-06-11,24.5,346400
1996-06-12,24.625,288200
1996-06-13,24.625,385800
1996-06-14,24.5625,800000
1996-06-17,23.9375,841600
1996-06-18,24.6875,493000
1996-06-19,24.8125,365000
1996-06-20,24.75,240200
1996-06-21,25.3125,429600
1996-06-24,25.9375,457200
1996-06-25,27.5,611000
1996-06-26,27.0,218600
1996-06-27,27.0,202400
