Date,Close,Volume
1991-10-09,20.375,83400
1991-10-10,20.375,47500
1991-10-11,20.375,5000
1991-10-14,20.375,2000
1991-10-15,20.625,26100
1991-10-16,20.625,11200
1991-10-17,20.875,51900
1991-10-18,20.875,9800
1991-10-21,20.5,27600
1991-10-22,20.5,11600
1991-10-23,20.5,8000
1991-10-24,20.375,6600
1991-10-25,20.375,10700
1991-10-28,20.375,5700
1991-10-29,20.375,5600
1991-10-30,20.375,3000
1991-10-31,20.375,2400
1991-11-01,20.375,5600
1991-11-04,20.125,5200
1991-11-05,20.25,27400
1991-11-06,20.375,33000
1991-11-07,20.5,28400
1991-11-08,20.75,10100
1991-11-11,20.75,5100
1991-11-12,20.75,2800
1991-11-13,20.75,10900
1991-11-14,20.875,5800
1991-11-15,20.875,17700
1991-11-18,20.75,5700
1991-11-19,20.75,3500
1991-11-20,20.75,2300
1991-11-21,20.875,11600
1991-11-22,21.0,10000
1991-11-25,21.125,5900
1991-11-26,21.25,8900
1991-11-27,21.25,3500
1991-11-29,21.375,8400
1991-12-02,21.0,8200
1991-12-03,21.375,5000
1991-12-04,21.375,2600
1991-12-05,21.125,3500
1991-12-06,21.0,6000
1991-12-09,21.0,3100
1991-12-10,21.0,1700
1991-12-11,21.0,41700
1991-12-12,21.0,15500
1991-12-13,21.0,25700
1991-12-16,21.25,13900
1991-12-17,21.25,18100
1991-12-18,21.375,2800
1991-12-19,21.375,20900
1991-12-20,21.625,22800
1991-12-23,22.0,22700
1991-12-24,21.75,21000
1991-12-26,22.125,20000
1991-12-27,22.5,32700
1991-12-30,23.5,46900
1991-12-31,24.0,17800
1992-01-02,24.125,33200
1992-01-03,24.0,8600
1992-01-06,24.375,5100
1992-01-07,24.5,11300
1992-01-08,24.375,8900
1992-01-09,24.5,19300
1992-01-10,24.625,13500
1992-01-13,24.875,8100
1992-01-14,24.875,11800
1992-01-15,24.75,11900
1992-01-16,24.75,55700
1992-01-17,24.875,7800
1992-01-20,24.875,72900
1992-01-21,24.625,31300
1992-01-22,24.625,3500
1992-01-23,24.625,1000
1992-01-24,24.75,4500
1992-01-27,24.5,23200
1992-01-28,24.5,4900
1992-01-29,24.5,1100
1992-01-30,24.375,2000
1992-01-31,24.0,2700
1992-02-03,23.75,4400
1992-02-04,23.875,25800
1992-02-05,24.0,400
1992-02-06,24.125,1600
1992-02-07,24.25,4900
1992-02-10,24.375,3300
1992-02-11,24.375,35400
1992-02-12,24.5,2300
1992-02-13,24.25,4800
1992-02-14,24.5,10800
1992-02-18,24.375,5100
1992-02-19,24.125,9300
1992-02-20,23.75,7500
1992-02-21,23.625,5400
1992-02-24,23.25,4400
1992-02-25,23.25,2200
1992-02-26,23.25,26600
1992-02-27,23.25,700
1992-02-28,23.375,1300
1992-03-02,23.375,1700
1992-03-03,23.375,1900
1992-03-04,23.125,3700
1992-03-05,23.375,21100
1992-03-06,23.375,1200
1992-03-09,23.375,6000
1992-03-10,23.0,25500
1992-03-11,22.75,7100
1992-03-12,23.0,2000
1992-03-13,23.0,113300
1992-03-16,23.0,24100
1992-03-17,23.125,3000
1992-03-18,23.125,61200
1992-03-19,23.0,2600
1992-03-20,23.125,6100
1992-03-23,23.125,1900
1992-03-24,23.25,17700
1992-03-25,22.875,2900
1992-03-26,22.75,5700
1992-03-27,22.375,8500
1992-03-30,22.125,6500
1992-03-31,22.25,3400
1992-04-01,22.125,1600
1992-04-02,22.375,7100
1992-04-03,22.25,8600
1992-04-06,22.0,5000
1992-04-07,22.125,2600
1992-04-08,22.0,5600
1992-04-09,21.75,13500
1992-04-10,21.875,3200
1992-04-13,22.5,11800
1992-04-14,22.125,2500
1992-04-15,22.25,1200
1992-04-16,22.5,4800
1992-04-20,22.5,9100
1992-04-21,22.375,2500
1992-04-22,22.25,2900
1992-04-23,22.375,700
1992-04-24,22.25,1000
1992-04-27,22.25,4700
1992-04-28,22.0,7300
1992-04-29,22.25,7100
1992-04-30,22.0,3500
1992-05-01,22.0,21800
1992-05-04,22.125,1800
1992-05-05,22.625,4900
1992-05-06,23.0,19400
1992-05-07,23.0,4800
1992-05-08,22.875,2600
1992-05-11,23.25,2100
1992-05-12,23.375,25900
1992-05-13,23.625,3000
1992-05-14,23.875,2400
1992-05-15,23.5,5800
1992-05-18,23.625,7900
1992-05-19,23.75,2000
1992-05-20,23.875,4500
1992-05-21,23.875,800
1992-05-22,23.875,900
1992-05-26,23.875,2000
1992-05-27,23.5,4100
1992-05-28,23.625,1400
1992-05-29,23.5,26200
1992-06-01,23.625,2300
1992-06-02,23.375,2000
1992-06-03,23.5,12300
1992-06-04,23.625,800
1992-06-05,23.75,2500
1992-06-08,23.625,11500
1992-06-09,23.5,2000
1992-06-10,23.375,4800
1992-06-11,23.5,1300
1992-06-12,23.625,200
1992-06-15,23.375,5200
1992-06-16,23.375,3400
1992-06-17,23.5,4100
1992-06-18,23.5,1200
1992-06-19,23.75,1200
1992-06-22,23.625,6500
1992-06-23,23.625,1400
1992-06-24,23.375,900
1992-06-25,23.375,1900
1992-06-26,23.375,1300
1992-06-29,23.625,5000
1992-06-30,23.625,25500
1992-07-01,23.5,9200
1992-07-02,23.5,10100
1992-07-06,23.5,3600
1992-07-07,23.375,2900
1992-07-08,23.25,900
1992-07-09,23.25,3200
1992-07-10,23.375,400
1992-07-13,23.5,3000
1992-07-14,23.5,3000
1992-07-15,23.625,10900
1992-07-16,23.5,3000
1992-07-17,23.5,2000
1992-07-20,23.5,2800
1992-07-21,23.375,3300
1992-07-22,23.25,6200
1992-07-23,23.375,1100
1992-07-24,23.625,1700
1992-07-27,23.75,1900
1992-07-28,24.0,24900
1992-07-29,24.0,3000
1992-07-30,24.0,800
1992-07-31,24.125,9900
1992-08-03,23.875,36000
1992-08-04,23.875,2000
1992-08-05,23.875,4800
1992-08-06,23.875,1000
1992-08-07,23.625,7000
1992-08-10,23.625,8800
1992-08-11,23.5,7500
1992-08-12,23.625,2400
1992-08-13,23.5,3900
1992-08-14,23.625,4900
1992-08-17,23.5,1700
1992-08-18,23.375,3500
1992-08-19,23.125,5100
1992-08-20,23.125,2000
1992-08-21,23.0,1900
1992-08-24,22.75,1000
1992-08-25,22.625,6900
1992-08-26,22.75,4100
1992-08-27,22.625,9900
1992-08-28,22.5,11400
1992-08-31,22.25,3800
1992-09-01,22.375,9700
1992-09-02,22.75,59200
1992-09-03,22.875,2400
1992-09-04,23.125,6600
1992-09-08,23.25,4800
1992-09-09,23.25,2800
1992-09-10,23.25,2900
1992-09-11,23.5,3700
1992-09-14,23.5,500
1992-09-15,23.5,0
1992-09-16,23.5,3300
1992-09-17,23.5,8300
1992-09-18,23.5,1900
1992-09-21,23.875,10300
1992-09-22,24.0,29300
1992-09-23,24.0,9900
1992-09-24,23.875,6000
1992-09-25,24.0,1900
1992-09-28,24.0,7100
1992-09-29,24.0,5700
1992-09-30,24.125,4900
1992-10-01,24.25,1600
1992-10-02,24.125,5400
1992-10-05,24.375,6600
1992-10-06,24.5,5600
1992-10-07,24.875,6200
1992-10-08,24.875,2800
1992-10-09,24.875,2100
1992-10-12,24.625,6800
1992-10-13,24.625,43600
1992-10-14,24.625,200
1992-10-15,25.0,42500
1992-10-16,25.0,16300
1992-10-19,24.875,6500
1992-10-20,24.75,20000
1992-10-21,24.625,26000
1992-10-22,24.625,1000
1992-10-23,24.625,1600
1992-10-26,24.0,28800
1992-10-27,24.0,400
1992-10-28,23.5,5300
1992-10-29,23.5,3000
1992-10-30,23.5,4500
1992-11-02,23.375,800
1992-11-03,23.125,16200
1992-11-04,23.25,54400
1992-11-05,23.375,800
1992-11-06,23.5,4900
1992-11-09,23.125,10700
1992-11-10,23.0,31400
1992-11-11,23.375,4000
1992-11-12,23.25,12300
1992-11-13,23.125,2900
1992-11-16,23.25,27500
1992-11-17,23.25,15500
1992-11-18,23.375,14100
1992-11-19,23.5,15300
1992-11-20,23.25,4300
1992-11-23,23.0,9800
1992-11-24,23.0,4000
1992-11-25,23.0,2400
1992-11-27,23.0,5200
1992-11-30,23.25,8500
1992-12-01,22.875,20100
1992-12-02,23.125,7000
1992-12-03,23.25,22900
1992-12-04,23.25,4000
1992-12-07,23.25,42800
1992-12-08,23.0,7200
1992-12-09,23.25,5400
1992-12-10,23.125,5500
1992-12-11,23.25,27500
1992-12-14,23.125,51900
1992-12-15,23.375,600
1992-12-16,23.5,2700
1992-12-17,23.5,2200
1992-12-18,23.375,18400
1992-12-21,23.0,19000
1992-12-22,23.25,4100
1992-12-23,22.875,10900
1992-12-24,22.5,1200
1992-12-28,22.375,28600
1992-12-29,21.875,46900
1992-12-30,22.375,78100
1992-12-31,22.875,21200
1993-01-04,22.5,12800
1993-01-05,22.5,145400
1993-01-06,22.625,13900
1993-01-07,22.625,47100
1993-01-08,22.875,32000
1993-01-11,22.875,10900
1993-01-12,22.625,17300
1993-01-13,22.75,36400
1993-01-14,22.25,65600
1993-01-15,22.5,39200
1993-01-18,22.75,14600
1993-01-19,22.875,6400
1993-01-20,23.0,28500
1993-01-21,23.0,8600
1993-01-22,23.0,18300
1993-01-25,23.5,15200
1993-01-26,23.875,19300
1993-01-27,24.25,3500
1993-01-28,24.25,18000
1993-01-29,24.5,6000
1993-02-01,24.625,7900
1993-02-02,24.125,1300
1993-02-03,24.375,12600
1993-02-04,24.625,39600
1993-02-05,24.75,33400
1993-02-08,24.625,1700
1993-02-09,24.875,5200
1993-02-10,24.625,18000
1993-02-11,24.625,10300
1993-02-12,24.75,23300
1993-02-16,24.5,7800
1993-02-17,24.25,9500
1993-02-18,24.0,6300
1993-02-19,23.875,2500
1993-02-22,23.0,9100
1993-02-23,22.5,45200
1993-02-24,22.875,23500
1993-02-25,23.125,22900
1993-02-26,23.75,24000
1993-03-01,24.0,12600
1993-03-02,24.0,9700
1993-03-03,23.875,3300
1993-03-04,24.625,29600
1993-03-05,25.0,35000
1993-03-08,26.25,46500
1993-03-09,25.875,16800
1993-03-10,25.75,48200
1993-03-11,26.0,41400
1993-03-12,26.375,19600
1993-03-15,26.625,10100
1993-03-16,26.75,17500
1993-03-17,27.75,34000
1993-03-18,27.375,51400
1993-03-19,28.0,13300
1993-03-22,28.375,35200
1993-03-23,28.125,12400
1993-03-24,28.125,14600
1993-03-25,27.25,9300
1993-03-26,26.875,10300
1993-03-29,26.875,9700
1993-03-30,27.75,34200
1993-03-31,28.75,71900
1993-04-01,28.125,14300
1993-04-02,28.25,3300
1993-04-05,28.25,8100
1993-04-06,28.0,14700
1993-04-07,28.125,47100
1993-04-08,28.25,24400
1993-04-12,28.25,5100
1993-04-13,28.5,54000
1993-04-14,28.5,1600
1993-04-15,28.5,5100
1993-04-16,28.25,4500
1993-04-19,28.5,4800
1993-04-20,28.25,10800
1993-04-21,28.5,9400
1993-04-22,28.375,12500
1993-04-23,28.375,6500
1993-04-26,28.25,16600
1993-04-27,28.375,1500
1993-04-28,28.25,38400
1993-04-29,28.5,28700
1993-04-30,28.375,2600
1993-05-03,28.375,2700
