Date,Close,Volume
1990-03-26,0.5625,3000
1990-03-27,0.5625,6500
1990-03-28,0.625,7500
1990-03-29,0.5625,3300
1990-03-30,0.5625,0
1990-04-02,0.5625,8500
1990-04-03,0.5625,1300
1990-04-04,0.5625,0
1990-04-05,0.5625,0
1990-04-06,0.5625,100
1990-04-09,0.5625,2500
1990-04-10,0.4375,16000
1990-04-11,0.53125,5200
1990-04-12,0.53125,37200
1990-04-16,0.4375,1900
1990-04-17,0.4375,5000
1990-04-18,0.4375,7000
1990-04-19,0.4375,0
1990-04-20,0.5625,1200
1990-04-23,0.4375,5000
1990-04-24,0.4375,1000
1990-04-25,0.5,5000
1990-04-26,0.5,0
1990-04-27,0.5,0
1990-04-30,0.5,0
1990-05-01,0.4375,200
1990-05-02,0.4375,200
1990-05-03,0.4375,0
1990-05-04,0.4375,0
1990-05-07,0.4375,2200
1990-05-08,0.4375,0
1990-05-09,0.4375,100
1990-05-10,0.4375,2900
1990-05-11,0.4375,2500
1990-05-14,0.625,6000
1990-05-15,0.4375,600
1990-05-16,0.4375,0
1990-05-17,0.4375,8600
1990-05-18,0.4375,12400
1990-05-21,0.4375,0
1990-05-22,0.625,6000
1990-05-23,0.4375,2500
1990-05-24,0.625,6600
1990-05-25,0.625,0
1990-05-29,0.4375,900
1990-05-30,0.4375,300
1990-05-31,0.4375,200
1990-06-01,0.4375,0
1990-06-04,0.4375,0
1990-06-05,0.4375,5000
1990-06-06,0.5,2400
1990-06-07,0.4375,100
1990-06-08,0.4375,0
1990-06-11,0.4375,1000
1990-06-12,0.5,2000
1990-06-13,0.4375,2300
1990-06-14,0.4375,3100
1990-06-15,0.4375,9800
1990-06-18,0.4375,11300
1990-06-19,0.5,11700
1990-06-20,0.46875,1000
1990-06-21,0.5,2000
1990-06-22,0.46875,18900
1990-06-25,0.5,0
1990-06-26,0.4375,2200
1990-06-27,0.5625,1000
1990-06-28,0.5,6800
1990-06-29,0.46875,29000
1990-07-02,0.5,1000
1990-07-03,0.5,0
1990-07-05,0.5,0
1990-07-06,0.4375,2000
1990-07-09,0.4375,100
1990-07-10,0.5,4700
1990-07-11,0.5,1000
1990-07-12,0.4375,5000
1990-07-13,0.5,6200
1990-07-16,0.4375,2400
1990-07-17,0.5,12500
1990-07-18,0.5625,27400
1990-07-19,0.5625,0
1990-07-20,0.625,8200
1990-07-23,0.625,3200
1990-07-24,0.625,0
1990-07-25,0.625,1000
1990-07-26,0.4375,3000
1990-07-27,0.5625,2000
1990-07-30,0.5625,20100
1990-07-31,0.5,2600
1990-08-01,0.625,2700
1990-08-02,0.59375,14200
1990-08-03,0.625,57800
1990-08-06,0.65625,30500
1990-08-07,0.75,2800
1990-08-08,0.75,11300
1990-08-09,0.6875,9500
1990-08-10,0.6875,0
1990-08-13,0.6875,0
1990-08-14,0.625,400
1990-08-15,0.75,3200
1990-08-16,0.75,1600
1990-08-17,0.75,9000
1990-08-20,0.75,3000
1990-08-21,0.75,1100
1990-08-22,0.75,0
1990-08-23,0.5625,6500
1990-08-24,0.65625,5000
1990-08-27,0.5625,1000
1990-08-28,0.6875,300
1990-08-29,0.6875,5300
1990-08-30,0.65625,9000
1990-08-31,0.5625,10200
1990-09-04,0.5625,0
1990-09-05,0.5625,0
1990-09-06,0.53125,6000
1990-09-07,0.625,2500
1990-09-10,0.6875,100
1990-09-11,0.53125,2300
1990-09-12,0.53125,2400
1990-09-13,0.53125,0
1990-09-14,0.53125,0
1990-09-17,0.4375,15100
1990-09-18,0.46875,14900
1990-09-19,0.53125,18500
1990-09-20,0.53125,5500
1990-09-21,0.5625,1000
1990-09-24,0.625,3100
1990-09-25,0.625,13500
1990-09-26,0.625,20500
1990-09-27,0.5625,16000
1990-09-28,0.625,11300
1990-10-01,0.625,6000
1990-10-02,0.625,2000
1990-10-03,0.625,0
1990-10-04,0.53125,1500
1990-10-05,0.5625,49800
1990-10-08,0.5,2100
1990-10-09,0.5,200
1990-10-10,0.625,1500
1990-10-11,0.625,0
1990-10-12,0.5,7500
1990-10-15,0.5,2000
1990-10-16,0.625,1500
1990-10-17,0.625,0
1990-10-18,0.5,500
1990-10-19,0.5,0
1990-10-22,0.5,1000
1990-10-23,0.5,2300
1990-10-24,0.5,16900
1990-10-25,0.5,6000
1990-10-26,0.4375,17600
1990-10-29,0.53125,2500
1990-10-30,0.5,4800
1990-10-31,0.5,0
1990-11-01,0.4375,200
1990-11-02,0.4375,2500
1990-11-05,0.53125,3800
1990-11-06,0.53125,0
1990-11-07,0.4375,1000
1990-11-08,0.53125,5800
1990-11-09,0.53125,0
1990-11-12,0.5625,7700
1990-11-13,0.5625,13000
1990-11-14,0.5625,20300
1990-11-15,0.625,11000
1990-11-16,0.6875,64000
1990-11-19,0.5,8700
1990-11-20,0.65625,1000
1990-11-21,0.5,4000
1990-11-23,0.625,2100
1990-11-26,0.53125,12300
1990-11-27,0.53125,0
1990-11-28,0.53125,0
1990-11-29,0.53125,0
1990-11-30,0.5625,2000
1990-12-03,0.46875,3000
1990-12-04,0.46875,1400
1990-12-05,0.625,3200
1990-12-06,0.625,12500
1990-12-07,0.625,1600
1990-12-10,0.625,0
1990-12-11,0.625,1000
1990-12-12,0.625,0
1990-12-13,0.5,700
1990-12-14,0.5,57400
1990-12-17,0.5625,7200
1990-12-18,0.625,51000
1990-12-19,0.625,11700
1990-12-20,0.625,56400
1990-12-21,0.59375,15900
1990-12-24,0.59375,0
1990-12-26,0.53125,8700
1990-12-27,0.53125,800
1990-12-28,0.53125,14100
1990-12-31,0.5625,6100
1991-01-02,0.5625,0
1991-01-03,0.53125,600
1991-01-04,0.53125,0
1991-01-07,0.5625,7000
1991-01-08,0.625,2000
1991-01-09,0.5625,13700
1991-01-10,0.5625,500
1991-01-11,0.5625,3600
1991-01-14,0.625,11400
1991-01-15,0.625,400
1991-01-16,0.59375,14500
1991-01-17,0.59375,0
1991-01-18,0.625,15400
1991-01-21,0.625,0
1991-01-22,0.5625,3500
1991-01-23,0.5625,3500
1991-01-24,0.625,500
1991-01-25,0.5625,11000
1991-01-28,0.5625,3500
1991-01-29,0.625,2200
1991-01-30,0.5625,39000
1991-01-31,0.5,2000
1991-02-01,0.59375,200
1991-02-04,0.5625,34200
1991-02-05,0.5625,45200
1991-02-06,0.625,22800
1991-02-07,0.6875,30600
1991-02-08,0.6875,36200
1991-02-11,0.6875,76800
1991-02-12,0.6875,36700
1991-02-13,0.75,65000
1991-02-14,0.75,0
1991-02-15,0.75,700
1991-02-19,0.6875,13900
1991-02-20,0.75,66600
1991-02-21,0.9375,137200
1991-02-22,0.9375,32500
1991-02-25,0.9375,23100
1991-02-26,0.9375,2000
1991-02-27,0.875,10300
1991-02-28,0.75,5100
1991-03-01,0.75,47100
1991-03-04,0.8125,50900
1991-03-05,0.8125,13200
1991-03-06,0.875,76400
1991-03-07,0.8125,137800
1991-03-08,0.84375,27300
1991-03-11,0.8125,9300
1991-03-12,0.8125,35000
1991-03-13,0.875,50600
1991-03-14,0.8125,11500
1991-03-15,0.875,12000
1991-03-18,0.875,5200
1991-03-19,0.875,28100
1991-03-20,0.875,51500
1991-03-21,0.78125,43400
1991-03-22,0.78125,200
1991-03-25,0.78125,7700
1991-03-26,0.78125,76700
1991-03-27,0.875,9600
1991-03-28,0.8125,79000
1991-04-01,0.84375,5000
1991-04-02,0.875,3000
1991-04-03,0.875,22300
1991-04-04,0.9375,19900
1991-04-05,0.9375,26900
1991-04-08,0.9375,8100
1991-04-09,0.875,7500
1991-04-10,0.875,4600
1991-04-11,0.875,7500
1991-04-12,0.875,26200
1991-04-15,0.8125,11500
1991-04-16,0.9375,10400
1991-04-17,0.9375,1000
1991-04-18,0.9375,5000
1991-04-19,0.8125,18800
1991-04-22,0.8125,13900
1991-04-23,0.8125,0
1991-04-24,0.8125,100
1991-04-25,0.8125,0
1991-04-26,0.8125,3300
1991-04-29,0.8125,7500
1991-04-30,0.875,5300
1991-05-01,0.8125,5000
1991-05-02,0.8125,6100
1991-05-03,0.875,3100
1991-05-06,0.8125,7000
1991-05-07,0.875,100
1991-05-08,0.78125,7500
1991-05-09,0.875,11000
1991-05-10,0.875,0
1991-05-13,0.84375,3400
1991-05-14,0.84375,2000
1991-05-15,0.8125,4200
1991-05-16,0.8125,2000
1991-05-17,0.875,7300
1991-05-20,0.875,6000
1991-05-21,0.8125,3000
1991-05-22,0.875,3500
1991-05-23,0.8125,9500
1991-05-24,0.8125,0
1991-05-28,0.875,1000
1991-05-29,0.875,0
1991-05-30,0.875,0
1991-05-31,0.8125,6900
1991-06-03,0.8125,1000
1991-06-04,0.8125,4100
1991-06-05,0.875,4800
1991-06-06,0.875,2000
1991-06-07,0.8125,400
1991-06-10,0.8125,5500
1991-06-11,0.8125,0
1991-06-12,0.8125,0
1991-06-13,0.8125,2100
1991-06-14,0.8125,0
1991-06-17,0.8125,400
1991-06-18,0.875,700
1991-06-19,0.8125,8300
1991-06-20,0.8125,6500
1991-06-21,0.875,14800
1991-06-24,0.75,700
1991-06-25,0.75,2000
1991-06-26,0.75,11500
1991-06-27,0.75,12800
1991-06-28,0.75,10500
1991-07-01,0.8125,10000
1991-07-02,0.75,4000
1991-07-03,0.75,3000
1991-07-05,0.75,0
1991-07-08,0.8125,6000
1991-07-09,0.75,4100
1991-07-10,0.75,2400
1991-07-11,0.75,500
1991-07-12,0.75,0
1991-07-15,0.75,4000
1991-07-16,0.75,0
1991-07-17,0.75,7400
1991-07-18,0.875,1500
1991-07-19,0.875,300
1991-07-22,0.875,3500
1991-07-23,0.875,0
1991-07-24,0.75,1700
1991-07-25,0.75,3500
1991-07-26,0.75,3000
1991-07-29,0.75,1000
1991-07-30,0.75,1100
1991-07-31,0.75,500
1991-08-01,0.75,5500
1991-08-02,0.75,5000
1991-08-05,0.6875,5500
1991-08-06,0.6875,0
1991-08-07,0.6875,0
1991-08-08,0.6875,24100
1991-08-09,0.6875,64000
1991-08-12,0.6875,0
1991-08-13,0.625,200
1991-08-14,0.625,69300
1991-08-15,0.625,57800
1991-08-16,0.6875,41300
1991-08-19,0.6875,8900
1991-08-20,0.625,1200
1991-08-21,0.625,0
1991-08-22,0.75,1000
1991-08-23,0.8125,91000
1991-08-26,0.75,4500
1991-08-27,0.75,5000
1991-08-28,0.75,23500
1991-08-29,0.8125,2200
1991-08-30,0.6875,500
1991-09-03,0.75,2400
1991-09-04,0.8125,1200
1991-09-05,0.8125,0
1991-09-06,0.6875,2400
1991-09-09,0.8125,200
1991-09-10,0.8125,0
1991-09-11,0.6875,2900
1991-09-12,0.6875,0
1991-09-13,0.75,5000
1991-09-16,0.6875,1500
1991-09-17,0.6875,500
1991-09-18,0.75,1400
1991-09-19,0.6875,14100
1991-09-20,0.71875,4600
1991-09-23,0.625,7200
1991-09-24,0.625,39800
1991-09-25,0.625,0
1991-09-26,0.625,1000
1991-09-27,0.625,2300
1991-09-30,0.625,300
1991-10-01,0.75,1500
1991-10-02,0.625,3200
1991-10-03,0.75,4300
1991-10-04,0.75,0
1991-10-07,0.6875,8800
1991-10-08,0.75,12200
1991-10-09,0.6875,2200
1991-10-10,0.6875,13000
1991-10-11,0.6875,0
1991-10-14,0.78125,1200
1991-10-15,0.6875,1600
1991-10-16,0.6875,2300
1991-10-17,0.71875,5600
1991-10-18,0.78125,3800
1991-10-21,0.6875,4800
1991-10-22,0.75,9600
1991-10-23,0.78125,7500
1991-10-24,0.6875,1200
1991-10-25,0.6875,5000
1991-10-28,0.78125,4300
1991-10-29,0.6875,1100
1991-10-30,0.75,3400
1991-10-31,0.6875,2300
1991-11-01,0.78125,1000
1991-11-04,0.6875,11400
1991-11-05,0.6875,9700
1991-11-06,0.6875,31700
1991-11-07,0.71875,4000
1991-11-08,0.78125,2500
1991-11-11,0.78125,1000
1991-11-12,0.71875,3600
1991-11-13,0.6875,2300
1991-11-14,0.8125,32800
1991-11-15,0.8125,1000
1991-11-18,0.71875,13100
1991-11-19,0.71875,700
1991-11-20,0.71875,0
1991-11-21,0.75,6000
1991-11-22,0.71875,2900
1991-11-25,0.71875,0
1991-11-26,0.71875,700
1991-11-27,0.8125,3500
1991-11-29,0.8125,0
1991-12-02,0.75,42000
1991-12-03,0.75,47500
1991-12-04,0.71875,42200
1991-12-05,0.75,19100
1991-12-06,0.75,16000
1991-12-09,0.78125,900
1991-12-10,0.71875,6100
1991-12-11,0.71875,2200
1991-12-12,0.71875,6600
1991-12-13,0.71875,1100
1991-12-16,0.75,8200
1991-12-17,0.75,2600
1991-12-18,0.71875,2800
1991-12-19,0.71875,10700
1991-12-20,0.71875,4100
1991-12-23,0.71875,500
1991-12-24,0.78125,3000
1991-12-26,0.71875,4100
1991-12-27,0.71875,3300
1991-12-30,0.78125,8500
1991-12-31,0.71875,13500
1992-01-02,0.78125,6000
1992-01-03,0.84375,6000
1992-01-06,0.75,3000
1992-01-07,0.75,6500
1992-01-08,0.75,200
1992-01-09,0.75,32000
1992-01-10,0.78125,6000
1992-01-13,0.75,4000
1992-01-14,0.75,4400
1992-01-15,0.75,4100
1992-01-16,0.75,1900
1992-01-17,0.75,2200
1992-01-20,0.75,8400
1992-01-21,0.75,44400
1992-01-22,0.8125,5500
1992-01-23,0.75,13000
1992-01-24,0.8125,1200
1992-01-27,0.8125,19500
1992-01-28,0.8125,0
1992-01-29,0.84375,2300
1992-01-30,0.75,4000
1992-01-31,0.75,4100
1992-02-03,0.84375,500
1992-02-04,0.84375,1400
1992-02-05,0.75,2600
1992-02-06,0.75,0
1992-02-07,0.75,1200
1992-02-10,0.75,2300
1992-02-11,0.75,0
1992-02-12,0.75,5000
1992-02-13,0.75,5000
1992-02-14,0.75,5100
1992-02-18,0.75,3400
1992-02-19,0.8125,1100
1992-02-20,0.75,3000
1992-02-21,0.8125,22000
1992-02-24,0.75,500
1992-02-25,0.75,3400
1992-02-26,0.75,2500
1992-02-27,0.75,0
1992-02-28,0.75,3900
1992-03-02,0.8125,129900
1992-03-03,0.8125,3500
1992-03-04,0.8125,0
1992-03-05,0.75,2200
1992-03-06,0.75,200
1992-03-09,0.8125,500
1992-03-10,0.8125,4000
1992-03-11,0.75,1100
1992-03-12,0.75,0
1992-03-13,0.75,5500
1992-03-16,0.75,800
1992-03-17,0.75,0
1992-03-18,0.75,2000
1992-03-19,0.75,20900
1992-03-20,0.8125,5400
1992-03-23,0.75,23500
1992-03-24,0.75,0
1992-03-25,0.75,3300
1992-03-26,0.75,2700
1992-03-27,0.75,0
1992-03-30,0.75,2600
1992-03-31,0.75,1500
1992-04-01,0.75,300
1992-04-02,0.75,5500
1992-04-03,0.75,1000
1992-04-06,0.75,8900
1992-04-07,0.75,3000
1992-04-08,0.75,8000
1992-04-09,0.75,2000
1992-04-10,0.75,0
1992-04-13,0.6875,1400
1992-04-14,0.6875,2500
1992-04-15,0.6875,0
1992-04-16,0.6875,5000
1992-04-20,0.6875,1500
1992-04-21,0.6875,0
1992-04-22,0.6875,100
1992-04-23,0.6875,0
1992-04-24,0.6875,0
1992-04-27,0.75,20000
1992-04-28,0.71875,2000
1992-04-29,0.75,20200
1992-04-30,0.75,14600
1992-05-01,0.75,4000
1992-05-04,0.78125,5000
1992-05-05,0.75,3500
1992-05-06,0.75,15200
1992-05-07,0.75,4000
1992-05-08,0.78125,7400
1992-05-11,0.71875,1100
1992-05-12,0.71875,1100
1992-05-13,0.78125,3500
1992-05-14,0.78125,7000
1992-05-15,0.78125,0
1992-05-18,0.75,1000
1992-05-19,0.78125,10100
1992-05-20,0.78125,0
1992-05-21,0.78125,0
1992-05-22,0.71875,6500
1992-05-26,0.75,2000
1992-05-27,0.75,0
1992-05-28,0.75,0
1992-05-29,0.75,9900
1992-06-01,0.75,9700
1992-06-02,0.75,9000
1992-06-03,0.75,0
1992-06-04,0.71875,600
1992-06-05,0.78125,5000
1992-06-08,0.75,16000
1992-06-09,0.75,2500
1992-06-10,0.78125,10000
1992-06-11,0.6875,2800
1992-06-12,0.6875,300
1992-06-15,0.6875,0
1992-06-16,0.6875,1000
1992-06-17,0.6875,14200
1992-06-18,0.6875,0
1992-06-19,0.6875,0
1992-06-22,0.6875,0
1992-06-23,0.75,60400
1992-06-24,0.75,31800
1992-06-25,0.75,0
1992-06-26,0.75,0
1992-06-29,0.75,0
1992-06-30,0.75,0
1992-07-01,0.75,2800
1992-07-02,0.6875,1000
1992-07-06,0.6875,2200
1992-07-07,0.6875,300
1992-07-08,0.6875,8500
1992-07-09,0.6875,0
1992-07-10,0.8125,3500
1992-07-13,0.8125,0
1992-07-14,0.71875,12800
1992-07-15,0.6875,17900
1992-07-16,0.6875,0
1992-07-17,0.75,3800
1992-07-20,0.75,2000
1992-07-21,0.75,2000
1992-07-22,0.75,4600
1992-07-23,0.8125,2000
1992-07-24,0.75,1000
1992-07-27,0.75,0
1992-07-28,0.75,200
1992-07-29,0.6875,1000
1992-07-30,0.8125,500
1992-07-31,0.8125,0
1992-08-03,0.6875,1600
1992-08-04,0.6875,0
1992-08-05,0.6875,0
1992-08-06,0.6875,0
1992-08-07,0.8125,3500
1992-08-10,0.8125,2400
1992-08-11,0.8125,0
1992-08-12,0.75,8600
1992-08-13,0.8125,10000
1992-08-14,0.8125,6800
1992-08-17,0.8125,0
1992-08-18,0.75,100
1992-08-19,0.75,2300
1992-08-20,0.75,3000
1992-08-21,0.78125,7000
1992-08-24,0.8125,1000
1992-08-25,0.75,1000
1992-08-26,0.75,4000
1992-08-27,0.75,200
1992-08-28,0.8125,1200
1992-08-31,0.75,4300
1992-09-01,0.75,70500
1992-09-02,0.75,12200
1992-09-03,0.8125,1400
1992-09-04,0.8125,0
1992-09-08,0.6875,1000
1992-09-09,0.6875,0
1992-09-10,0.6875,6900
1992-09-11,0.6875,7500
1992-09-14,0.75,3500
1992-09-15,0.8125,2500
1992-09-16,0.6875,100
1992-09-17,0.6875,5100
1992-09-18,0.6875,9400
1992-09-21,0.6875,11200
1992-09-22,0.6875,4000
1992-09-23,0.75,5000
1992-09-24,0.75,17900
1992-09-25,0.75,2800
1992-09-28,0.75,0
1992-09-29,0.75,10000
1992-09-30,0.75,17300
1992-10-01,0.6875,4000
1992-10-02,0.75,25000
1992-10-05,0.6875,1000
1992-10-06,0.6875,8000
1992-10-07,0.75,1100
1992-10-08,0.6875,1200
1992-10-09,0.75,6700
1992-10-12,0.75,0
1992-10-13,0.75,15500
1992-10-14,0.6875,4000
1992-10-15,0.6875,17200
1992-10-16,0.8125,24100
1992-10-19,0.6875,2900
1992-10-20,0.6875,7800
1992-10-21,0.6875,0
1992-10-22,0.71875,3000
1992-10-23,0.78125,33200
1992-10-26,0.6875,3100
1992-10-27,0.6875,1000
1992-10-28,0.6875,0
1992-10-29,0.6875,300
1992-10-30,0.8125,21000
1992-11-02,0.8125,1400
1992-11-03,0.78125,35000
1992-11-04,0.78125,0
1992-11-05,0.78125,8500
1992-11-06,0.71875,1100
1992-11-09,0.71875,100
1992-11-10,0.71875,1000
1992-11-11,0.71875,5500
1992-11-12,0.8125,10700
1992-11-13,0.75,20700
1992-11-16,0.71875,12300
1992-11-17,0.84375,36000
1992-11-18,0.75,14000
1992-11-19,0.71875,34800
1992-11-20,0.8125,6100
1992-11-23,0.71875,5400
1992-11-24,0.8125,10100
1992-11-25,0.8125,0
1992-11-27,0.9375,55700
1992-11-30,1.0625,83000
1992-12-01,1.1875,12400
1992-12-02,1.25,53000
1992-12-03,1.3125,76800
1992-12-04,1.0,34200
1992-12-07,1.1875,44800
1992-12-08,1.25,48800
1992-12-09,1.3125,15200
1992-12-10,1.1875,46400
1992-12-11,1.25,10900
1992-12-14,1.125,17700
1992-12-15,1.1875,10600
1992-12-16,1.1875,38000
1992-12-17,1.09375,47900
1992-12-18,1.125,24900
1992-12-21,1.125,22100
1992-12-22,1.125,48700
1992-12-23,1.1875,31600
1992-12-24,1.1875,11000
1992-12-28,1.1875,1100
1992-12-29,1.1875,5200
1992-12-30,1.1875,9400
1992-12-31,1.125,11900
1993-01-04,1.125,45000
1993-01-05,1.1875,43600
1993-01-06,1.0625,2800
1993-01-07,1.1875,8700
1993-01-08,1.1875,1800
1993-01-11,1.3125,107000
1993-01-12,1.1875,3000
1993-01-13,1.3125,5600
1993-01-14,1.3125,10200
1993-01-15,1.375,6800
1993-01-18,1.4375,18400
1993-01-19,1.4375,1600
1993-01-20,1.375,42600
1993-01-21,1.375,900
1993-01-22,1.375,14100
1993-01-25,1.25,26300
1993-01-26,1.25,3700
1993-01-27,1.1875,17900
1993-01-28,1.3125,3700
1993-01-29,1.3125,5800
1993-02-01,1.25,35900
1993-02-02,1.3125,3000
1993-02-03,1.3125,7700
1993-02-04,1.1875,5900
1993-02-05,1.3125,14600
1993-02-08,1.375,31900
1993-02-09,1.3125,5000
1993-02-10,1.375,6500
1993-02-11,1.375,11500
1993-02-12,1.375,36600
1993-02-16,1.4375,11900
1993-02-17,1.25,6100
1993-02-18,1.25,58600
1993-02-19,1.25,16700
1993-02-22,1.375,8800
1993-02-23,1.375,1000
1993-02-24,1.375,1000
1993-02-25,1.25,2400
1993-02-26,1.25,500
1993-03-01,1.25,1400
1993-03-02,1.375,1000
1993-03-03,1.25,28200
1993-03-04,1.25,2700
1993-03-05,1.25,0
1993-03-08,1.3125,7500
1993-03-09,1.3125,8300
1993-03-10,1.25,5400
1993-03-11,1.3125,41800
1993-03-12,1.3125,16100
1993-03-15,1.25,18400
1993-03-16,1.25,11600
1993-03-17,1.25,6500
1993-03-18,1.125,2300
1993-03-19,1.3125,1500
1993-03-22,1.1875,15500
1993-03-23,1.3125,1100
1993-03-24,1.4375,114300
1993-03-25,1.625,168500
1993-03-26,1.625,107100
1993-03-29,1.6875,160000
1993-03-30,2.0,89200
1993-03-31,2.0625,122000
1993-04-01,1.9375,52800
1993-04-02,2.0,65500
1993-04-05,1.9375,34700
1993-04-06,1.875,26700
1993-04-07,2.0,57400
1993-04-08,2.0,63900
1993-04-12,2.0,29600
1993-04-13,1.9375,43200
1993-04-14,1.9375,56600
1993-04-15,2.0,96800
1993-04-16,2.0625,55800
1993-04-19,2.0625,75700
1993-04-20,2.0,33500
1993-04-21,1.9375,24900
1993-04-22,2.0,238600
1993-04-23,2.375,179900
1993-04-26,2.625,218000
1993-04-27,2.6875,132000
1993-04-28,2.5,81600
1993-04-29,2.5625,12700
1993-04-30,2.375,21800
1993-05-03,2.375,42100
1993-05-04,2.3125,57200
1993-05-05,2.125,149700
1993-05-06,2.25,81000
1993-05-07,2.375,114800
1993-05-10,2.3125,101500
1993-05-11,2.125,62500
1993-05-12,1.875,139400
1993-05-13,1.8125,217700
1993-05-14,1.625,94000
1993-05-17,1.5625,115400
1993-05-18,1.625,97200
1993-05-19,1.8125,105500
1993-05-20,1.9375,84200
1993-05-21,1.9375,39800
1993-05-24,1.875,111200
1993-05-25,1.875,55700
1993-05-26,1.875,31000
1993-05-27,1.875,50800
1993-05-28,1.875,34600
1993-06-01,1.75,72000
1993-06-02,1.875,63600
1993-06-03,1.875,16700
1993-06-04,1.875,149200
1993-06-07,1.8125,4500
1993-06-08,1.6875,22300
1993-06-09,1.6875,16200
1993-06-10,1.625,14500
1993-06-11,1.625,210300
1993-06-14,1.6875,7500
1993-06-15,1.625,20600
1993-06-16,1.8125,1000
1993-06-17,1.75,8100
1993-06-18,1.5,1800
1993-06-21,1.75,9900
1993-06-22,1.75,0
1993-06-23,1.5,14300
1993-06-24,1.5,7800
1993-06-25,1.5625,5200
1993-06-28,1.5,900
1993-06-29,1.625,2700
1993-06-30,1.625,16600
1993-07-01,1.625,1700
1993-07-02,1.5625,12300
1993-07-06,1.625,4300
1993-07-07,1.5,6200
1993-07-08,1.5,5400
1993-07-09,1.5625,3000
1993-07-12,1.625,14600
1993-07-13,1.5,37600
1993-07-14,1.625,15100
1993-07-15,1.5,31300
1993-07-16,1.5,22800
1993-07-19,1.5,2300
1993-07-20,1.4375,84900
1993-07-21,1.4375,20000
1993-07-22,1.5625,38100
1993-07-23,1.4375,28100
1993-07-26,1.375,26500
1993-07-27,1.4375,12000
