Date,Close,Volume
1997-06-12,31.5,19963800
1997-06-13,32.375,3661100
1997-06-16,30.875,2481700
1997-06-17,29.75,2283800
1997-06-18,28.375,1749900
1997-06-19,29.375,1269900
1997-06-20,29.5,859100
1997-06-23,28.25,725000
1997-06-24,28.875,1212100
1997-06-25,28.6875,726600
1997-06-26,28.25,534500
1997-06-27,27.25,441500
1997-06-30,27.375,796900
1997-07-01,26.9375,621300
1997-07-02,27.8125,818700
1997-07-03,28.0625,696800
1997-07-07,27.125,1180500
1997-07-08,27.6875,595000
1997-07-09,26.625,958000
1997-07-10,25.5,1069200
1997-07-11,25.9375,674600
1997-07-14,25.6875,471200
1997-07-15,25.4375,513000
1997-07-16,23.8125,899600
1997-07-17,26.0625,1286200
1997-07-18,25.875,346200
1997-07-21,25.3125,216600
1997-07-22,25.625,351200
1997-07-23,25.0,507100
1997-07-24,24.625,412800
1997-07-25,24.625,253000
1997-07-28,25.25,953700
1997-07-29,26.6875,1028100
1997-07-30,27.75,801700
1997-07-31,26.8125,458400
1997-08-01,26.625,250100
1997-08-04,27.625,629700
1997-08-05,27.0625,1157400
1997-08-06,26.5,350500
1997-08-07,25.75,456200
1997-08-08,25.25,576100
1997-08-11,24.75,370400
1997-08-12,24.3125,910300
1997-08-13,24.375,416500
1997-08-14,24.0,309000
1997-08-15,23.0625,1385300
1997-08-18,23.5,551500
1997-08-19,24.25,380800
1997-08-20,25.625,621500
1997-08-21,24.75,479600
1997-08-22,24.5,408100
1997-08-25,24.3125,230200
1997-08-26,24.6875,296300
1997-08-27,24.5,619500
1997-08-28,25.3125,492400
1997-08-29,26.25,686100
1997-09-02,26.25,414700
1997-09-03,26.0625,265000
1997-09-04,25.75,237400
1997-09-05,25.875,151100
1997-09-08,25.375,91200
1997-09-09,24.875,318400
1997-09-10,24.25,365900
1997-09-11,24.25,721200
1997-09-12,24.4375,234000
1997-09-15,25.1875,855800
1997-09-16,25.5,384100
1997-09-17,26.4375,922000
